Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Albania,AL
2023-01-02,New Year's Day (Day 2),['National holiday'],Albania,AL
2023-01-03,Day off for New Year's Day,['National holiday'],Albania,AL
2023-02-14,Valentine's Day,['Observance'],Albania,AL
2023-03-08,Mothers' Day,['Observance'],Albania,AL
2023-03-14,Summer Day,['National holiday'],Albania,AL
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Albania,AL
2023-03-22,Nevruz Day,['National holiday'],Albania,AL
2023-03-23,Ramadan Start,['Observance'],Albania,AL
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Albania,AL
2023-04-07,Good Friday,['Observance'],Albania,AL
2023-04-08,Holy Saturday,['Observance'],Albania,AL
2023-04-09,Easter Sunday,['National holiday'],Albania,AL
2023-04-10,Day off for Easter Sunday,['National holiday'],Albania,AL
2023-04-10,Easter Monday,['Observance'],Albania,AL
2023-04-14,Good Friday (Orthodox),"['Observance', 'Orthodox']",Albania,AL
2023-04-15,Easter Saturday (Orthodox),"['Observance', 'Orthodox']",Albania,AL
2023-04-16,Easter Sunday (Orthodox),"['National holiday', 'Orthodox']",Albania,AL
2023-04-17,Easter Monday (Orthodox),"['Observance', 'Orthodox']",Albania,AL
2023-04-17,Day off for Easter Sunday (Orthodox),['National holiday'],Albania,AL
2023-04-21,Eid al-Fitr,['National holiday'],Albania,AL
2023-05-01,International Worker’s Day,['National holiday'],Albania,AL
2023-06-18,Fathers' Day,['Observance'],Albania,AL
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Albania,AL
2023-06-28,Feast of the Sacrifice,['National holiday'],Albania,AL
2023-09-05,Mother Teresa Beatification Day,['National holiday'],Albania,AL
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Albania,AL
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Albania,AL
2023-10-31,Halloween,['Observance'],Albania,AL
2023-11-28,Flag and Independence Day,['National holiday'],Albania,AL
2023-11-29,Liberation Day,['National holiday'],Albania,AL
2023-12-08,National Youth Day,['National holiday'],Albania,AL
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Albania,AL
2023-12-24,Christmas Eve,['Observance'],Albania,AL
2023-12-25,Christmas Day,['National holiday'],Albania,AL
2023-12-31,New Year's Eve,['Observance'],Albania,AL
