Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Algeria,DZ
2023-01-12,Berber New Year,['National holiday'],Algeria,DZ
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Algeria,DZ
2023-03-23,Ramadan Start,['Observance'],Algeria,DZ
2023-04-21,Eid al-Fitr,['National holiday'],Algeria,DZ
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Algeria,DZ
2023-05-01,May Day,['National holiday'],Algeria,DZ
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Algeria,DZ
2023-06-28,Eid al-Adha,['National holiday'],Algeria,DZ
2023-06-29,Eid al-Adha Holiday,['National holiday'],Algeria,DZ
2023-07-05,Independence Day,['National holiday'],Algeria,DZ
2023-07-19,Muharram,['National holiday'],Algeria,DZ
2023-07-28,Day of Achura,['National holiday'],Algeria,DZ
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Algeria,DZ
2023-09-27,The Prophet's Birthday,['National holiday'],Algeria,DZ
2023-11-01,Anniversary of the Revolution,['National holiday'],Algeria,DZ
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Algeria,DZ
