Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],American Samoa,AS
2023-01-16,Martin Luther King Jr. Day,['National holiday'],American Samoa,AS
2023-02-20,President's Day,['National holiday'],American Samoa,AS
2023-03-20T10:24:20-11:00,March Equinox,['Season'],American Samoa,AS
2023-04-07,Good Friday,['National holiday'],American Samoa,AS
2023-04-17,Flag Day,['National holiday'],American Samoa,AS
2023-05-29,Memorial Day,['National holiday'],American Samoa,AS
2023-06-21T03:57:49-11:00,June Solstice,['Season'],American Samoa,AS
2023-07-04,Independence Day,['National holiday'],American Samoa,AS
2023-07-16,Manu'a Cession Day,['National holiday'],American Samoa,AS
2023-09-04,Labor Day,['National holiday'],American Samoa,AS
2023-09-22T19:50:01-11:00,September Equinox,['Season'],American Samoa,AS
2023-10-09,Columbus Day,['National holiday'],American Samoa,AS
2023-11-11,Veterans' Day,['National holiday'],American Samoa,AS
2023-11-23,Thanksgiving,['National holiday'],American Samoa,AS
2023-12-21T16:27:21-11:00,December Solstice,['Season'],American Samoa,AS
2023-12-25,Christmas Day,['National holiday'],American Samoa,AS
