Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Andorra,AD
2023-01-06,Epiphany,['National holiday'],Andorra,AD
2023-02-20,Carnival,['National holiday'],Andorra,AD
2023-03-14,Constitution Day,['National holiday'],Andorra,AD
2023-03-19,Father's Day,['Observance'],Andorra,AD
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Andorra,AD
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Andorra,AD
2023-04-06,Maundy Thursday (Starting Noon),['National holiday'],Andorra,AD
2023-04-07,Good Friday,['National holiday'],Andorra,AD
2023-04-08,Holy Saturday,['Common local holiday'],Andorra,AD
2023-04-09,Easter Sunday,['Observance'],Andorra,AD
2023-04-10,Easter Monday,['National holiday'],Andorra,AD
2023-05-01,May Day,['National holiday'],Andorra,AD
2023-05-07,Mother's Day,['Observance'],Andorra,AD
2023-05-18,Ascension Day,['Observance'],Andorra,AD
2023-05-28,Whit Sunday,['Observance'],Andorra,AD
2023-05-29,Whit Monday,['National holiday'],Andorra,AD
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Andorra,AD
2023-08-15,Assumption of Mary,['National holiday'],Andorra,AD
2023-09-08,National Day,['National holiday'],Andorra,AD
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Andorra,AD
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Andorra,AD
2023-11-01,All Saints' Day,['National holiday'],Andorra,AD
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Andorra,AD
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Andorra,AD
2023-12-24,Christmas Eve,['Common local holiday'],Andorra,AD
2023-12-25,Christmas Day,['National holiday'],Andorra,AD
2023-12-26,Boxing Day,['National holiday'],Andorra,AD
2023-12-31,New Year's Eve (Bank holiday),['Common local holiday'],Andorra,AD
