Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Angola,AO
2023-02-04,Liberation Movement Day,['National holiday'],Angola,AO
2023-02-20,Carnival Holiday,['National holiday'],Angola,AO
2023-02-21,Carnival,['National holiday'],Angola,AO
2023-03-08,International Woman's Day,['National holiday'],Angola,AO
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Angola,AO
2023-03-23,Southern Africa Liberation Day,['National holiday'],Angola,AO
2023-03-24,Day off for Southern Africa Liberation Day,['National holiday'],Angola,AO
2023-04-03,Day off for Peace Day,['National holiday'],Angola,AO
2023-04-04,Peace Day,['National holiday'],Angola,AO
2023-04-07,Good Friday,['National holiday'],Angola,AO
2023-05-01,May Day,['National holiday'],Angola,AO
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Angola,AO
2023-09-17,National Hero Day,['National holiday'],Angola,AO
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Angola,AO
2023-11-02,All Souls' Day,['National holiday'],Angola,AO
2023-11-03,Day off for All Souls' Day,['National holiday'],Angola,AO
2023-11-11,Independence Day,['National holiday'],Angola,AO
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Angola,AO
2023-12-25,Christmas Day,['National holiday'],Angola,AO
