Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Anguilla,AI
2023-01-02,Day off for New Year's Day,['National holiday'],Anguilla,AI
2023-03-02,James Ronald Webster Day,['National holiday'],Anguilla,AI
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Anguilla,AI
2023-04-07,Good Friday,['National holiday'],Anguilla,AI
2023-04-10,Easter Monday,['National holiday'],Anguilla,AI
2023-05-01,Labor Day / May Day,['National holiday'],Anguilla,AI
2023-05-29,Whit Monday,['National holiday'],Anguilla,AI
2023-05-30,Anguilla Day,['National holiday'],Anguilla,AI
2023-06-12,Sovereign's Birthday,['National holiday'],Anguilla,AI
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Anguilla,AI
2023-08-07,August Monday,['National holiday'],Anguilla,AI
2023-08-10,August Thursday,['National holiday'],Anguilla,AI
2023-08-11,Constitution Day,['National holiday'],Anguilla,AI
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Anguilla,AI
2023-12-19,National Heroes and Heroines Day,['National holiday'],Anguilla,AI
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Anguilla,AI
2023-12-25,Christmas Day,['National holiday'],Anguilla,AI
2023-12-26,Boxing Day,['National holiday'],Anguilla,AI
