Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Antigua and Barbuda,AG
2023-01-02,Day off for New Year's Day,['National holiday'],Antigua and Barbuda,AG
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Antigua and Barbuda,AG
2023-04-07,Good Friday,['National holiday'],Antigua and Barbuda,AG
2023-04-10,Easter Monday,['National holiday'],Antigua and Barbuda,AG
2023-05-01,Labour Day,['National holiday'],Antigua and Barbuda,AG
2023-05-29,Whit Monday,['National holiday'],Antigua and Barbuda,AG
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Antigua and Barbuda,AG
2023-07-04,50th Anniversary of CARICOM Holiday,['National holiday'],Antigua and Barbuda,AG
2023-08-07,Carnival Holiday,['National holiday'],Antigua and Barbuda,AG
2023-08-08,Carnival Holiday,['National holiday'],Antigua and Barbuda,AG
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Antigua and Barbuda,AG
2023-10-26,National Heroes Day,['Observance'],Antigua and Barbuda,AG
2023-11-01,Independence Day,['National holiday'],Antigua and Barbuda,AG
2023-12-09,V.C. Bird Day,['National holiday'],Antigua and Barbuda,AG
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Antigua and Barbuda,AG
2023-12-25,Christmas Day,['National holiday'],Antigua and Barbuda,AG
2023-12-26,Boxing Day,['National holiday'],Antigua and Barbuda,AG
