Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Argentina,AR
2023-02-20,Carnival / Shrove Monday,['National holiday'],Argentina,AR
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['National holiday'],Argentina,AR
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Argentina,AR
2023-03-23,Ramadan Start,['Observance'],Argentina,AR
2023-03-24,Memorial Day,['National holiday'],Argentina,AR
2023-04-02,Day of the Veterans,['National holiday'],Argentina,AR
2023-04-05,Passover Eve,['Observance'],Argentina,AR
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Argentina,AR
2023-04-06,First day of Passover,['Optional holiday'],Argentina,AR
2023-04-07,Good Friday,"['National holiday', 'Christian']",Argentina,AR
2023-04-07,Second Day of Passover,['Optional holiday'],Argentina,AR
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Argentina,AR
2023-04-11,Sixth Day of Passover,['Observance'],Argentina,AR
2023-04-12,Seventh Day of Passover,"['Hebrew', 'Optional holiday']",Argentina,AR
2023-04-13,Last day of Passover,"['Hebrew', 'Optional holiday']",Argentina,AR
2023-04-21,End of Ramadan,"['Muslim', 'Optional holiday']",Argentina,AR
2023-04-24,Action Day for Tolerance and Respect between People,['Observance'],Argentina,AR
2023-05-01,Labor Day / May Day,['National holiday'],Argentina,AR
2023-05-25,National Day/May 1810 Revolution,['National holiday'],Argentina,AR
2023-05-26,Bridge Public Holiday,['National holiday'],Argentina,AR
2023-06-17,Commemoration of General Don Martín Miguel de Güemes,['National holiday'],Argentina,AR
2023-06-19,Bridge Public Holiday,['National holiday'],Argentina,AR
2023-06-20,Flag Day,['National holiday'],Argentina,AR
2023-06-21T11:57:49-03:00,June Solstice,['Season'],Argentina,AR
2023-06-28,Eid al-Adha,"['Muslim', 'Optional holiday']",Argentina,AR
2023-07-09,Independence day,['National holiday'],Argentina,AR
2023-07-19,Muharram/New Year,"['Muslim', 'Optional holiday']",Argentina,AR
2023-08-21,San Martín Day,['National holiday'],Argentina,AR
2023-09-15,Rosh Hashana Eve,['Hebrew'],Argentina,AR
2023-09-16,Rosh Hashana,"['Hebrew', 'Optional holiday']",Argentina,AR
2023-09-17,Second day of Rosh Hashana,"['Hebrew', 'Optional holiday']",Argentina,AR
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Argentina,AR
2023-09-24,Yom Kippur Eve,['Hebrew'],Argentina,AR
2023-09-25,Yom Kippur,"['Hebrew', 'Optional holiday']",Argentina,AR
2023-10-13,Bridge Public Holiday,['National holiday'],Argentina,AR
2023-10-15,Mothers' Day,['Observance'],Argentina,AR
2023-10-16,Day of Respect for Cultural Diversity,['National holiday'],Argentina,AR
2023-11-20,National Sovereignty Day,['National holiday'],Argentina,AR
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Argentina,AR
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Argentina,AR
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Argentina,AR
2023-12-31,New Year's Eve,['Observance'],Argentina,AR
