Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Armenia,AM
2023-01-02,New Year's Day (Day 2),['National holiday'],Armenia,AM
2023-01-05,Christmas Eve,['Observance'],Armenia,AM
2023-01-06,Christmas Day,['National holiday'],Armenia,AM
2023-01-07,Christmas Remembrance Day,['Observance'],Armenia,AM
2023-01-28,Army Day,['National holiday'],Armenia,AM
2023-02-14,Valentine's Day,['Observance'],Armenia,AM
2023-02-16,Feast of Saint Vartan,['Observance'],Armenia,AM
2023-02-21,Mother Language Day,['Observance'],Armenia,AM
2023-03-08,International Women's Day,['National holiday'],Armenia,AM
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Armenia,AM
2023-04-07,Good Friday,['Observance'],Armenia,AM
2023-04-07,Motherhood and Beauty Day,['Observance'],Armenia,AM
2023-04-08,Holy Saturday,['Observance'],Armenia,AM
2023-04-09,Easter Sunday,['Observance'],Armenia,AM
2023-04-10,Easter Monday,['Observance'],Armenia,AM
2023-04-16,Armenian Cinema Day,['Observance'],Armenia,AM
2023-04-19,Taxpayer's Day,['Observance'],Armenia,AM
2023-04-24,Genocide Remembrance Day,['National holiday'],Armenia,AM
2023-04-29,Citizens' Day,['Observance'],Armenia,AM
2023-05-01,Labor Day,['National holiday'],Armenia,AM
2023-05-08,Yerkrapah Day,['Observance'],Armenia,AM
2023-05-09,Victory and Peace Day,['National holiday'],Armenia,AM
2023-05-15,Family Day,['Observance'],Armenia,AM
2023-05-16,Day of Students and Youth,['Observance'],Armenia,AM
2023-05-28,Republic Day,['National holiday'],Armenia,AM
2023-06-01,Children's Day,['Observance'],Armenia,AM
2023-06-14,Remembrance Day of the Oppressed,['Observance'],Armenia,AM
2023-06-18,Fathers' Day,['Observance'],Armenia,AM
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Armenia,AM
2023-07-05,Constitution Day,['National holiday'],Armenia,AM
2023-07-05,Day of State Symbols,['Observance'],Armenia,AM
2023-09-01,Knowledge and Literature Day,['Observance'],Armenia,AM
2023-09-21,Independence Day,['National holiday'],Armenia,AM
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Armenia,AM
2023-10-01,Day of National Minorities of the Republic of Armenia,['Observance'],Armenia,AM
2023-10-05,Teacher's Day,['Observance'],Armenia,AM
2023-10-14,Translators' Day,['Observance'],Armenia,AM
2023-10-31,Halloween,['Observance'],Armenia,AM
2023-11-10,Local Self-Government Day,['Observance'],Armenia,AM
2023-12-07,Spitak Remembrance Day,['Observance'],Armenia,AM
2023-12-09,Genocide Condemnation and Prevention Day,['Observance'],Armenia,AM
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Armenia,AM
2023-12-31,New Year's Eve,['National holiday'],Armenia,AM
