Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Austria,AT
2023-01-06,Epiphany,['National holiday'],Austria,AT
2023-03-19,Saint Joseph's Day,['Local holiday'],Austria,AT
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Austria,AT
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Austria,AT
2023-04-02,Palm Sunday,['Observance'],Austria,AT
2023-04-07,Good Friday,['Observance'],Austria,AT
2023-04-09,Easter Sunday,['Observance'],Austria,AT
2023-04-10,Easter Monday,['National holiday'],Austria,AT
2023-05-01,Labor Day / May Day,['National holiday'],Austria,AT
2023-05-04,Saint Florian's Day,['Local holiday'],Austria,AT
2023-05-14,Mother's Day,['Observance'],Austria,AT
2023-05-18,Ascension Day,['National holiday'],Austria,AT
2023-05-28,Whit Sunday,['Observance'],Austria,AT
2023-05-29,Whit Monday,['National holiday'],Austria,AT
2023-06-08,Corpus Christi,['National holiday'],Austria,AT
2023-06-11,Father's Day,['Observance'],Austria,AT
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Austria,AT
2023-08-15,Assumption of Mary,['National holiday'],Austria,AT
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Austria,AT
2023-09-24,European Heritage Days,['Observance'],Austria,AT
2023-09-24,Saint Rupert's Day,['Local holiday'],Austria,AT
2023-09-25,Yom Kippur,['Optional holiday'],Austria,AT
2023-10-10,Plebiscite Day,['Local holiday'],Austria,AT
2023-10-26,National Day,['National holiday'],Austria,AT
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Austria,AT
2023-10-31,Reformation Day,['Observance'],Austria,AT
2023-11-01,All Saints' Day,['National holiday'],Austria,AT
2023-11-02,All Souls' Day,['Observance'],Austria,AT
2023-11-11,Saint Martin's Day,['Local holiday'],Austria,AT
2023-11-15,Saint Leopold's Day,['Local holiday'],Austria,AT
2023-12-03,First Advent Sunday,['Observance'],Austria,AT
2023-12-08,Immaculate Conception,['National holiday'],Austria,AT
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Austria,AT
2023-12-24,Christmas Eve,['Half-day holiday'],Austria,AT
2023-12-25,Christmas Day,['National holiday'],Austria,AT
2023-12-26,St. Stephen's Day,['National holiday'],Austria,AT
2023-12-31,New Year's Eve,['Observance'],Austria,AT
