Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Azerbaijan,AZ
2023-01-02,New Year's Holiday,['National holiday'],Azerbaijan,AZ
2023-01-03,Day off for New Year's Day,['National holiday'],Azerbaijan,AZ
2023-01-04,Day off for New Year's Holiday,['National holiday'],Azerbaijan,AZ
2023-01-20,Martyrs’ Day,['National holiday'],Azerbaijan,AZ
2023-03-08,Women's Day,['National holiday'],Azerbaijan,AZ
2023-03-20,Nowruz,['National holiday'],Azerbaijan,AZ
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Azerbaijan,AZ
2023-03-21,Nowruz/Spring Holiday,['National holiday'],Azerbaijan,AZ
2023-03-22,Nowruz/Spring Holiday,['National holiday'],Azerbaijan,AZ
2023-03-23,Nowruz/Spring Holiday,['National holiday'],Azerbaijan,AZ
2023-03-23,Ramadan Start,['Observance'],Azerbaijan,AZ
2023-03-24,Nowruz/Spring Holiday,['National holiday'],Azerbaijan,AZ
2023-04-21,Ramadan holiday,['National holiday'],Azerbaijan,AZ
2023-04-22,Ramadan holiday,['National holiday'],Azerbaijan,AZ
2023-04-23,Ramadan holiday,['National holiday'],Azerbaijan,AZ
2023-04-24,Ramadan holiday,['National holiday'],Azerbaijan,AZ
2023-05-09,Victory Day over Fascism,['National holiday'],Azerbaijan,AZ
2023-05-28,Republic Day,['National holiday'],Azerbaijan,AZ
2023-05-29,Day off for Republic Day,['National holiday'],Azerbaijan,AZ
2023-06-15,Day of National Salvation of the Azerbaijani People,['National holiday'],Azerbaijan,AZ
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Azerbaijan,AZ
2023-06-26,Azerbaijan Armed Forces Day,['National holiday'],Azerbaijan,AZ
2023-06-28,Feast of the Sacrifice,['National holiday'],Azerbaijan,AZ
2023-06-29,Feast of the Sacrifice Holiday,['National holiday'],Azerbaijan,AZ
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Azerbaijan,AZ
2023-10-18,National Independence Day,['Observance'],Azerbaijan,AZ
2023-11-08,Victory Day of the Republic of Azerbaijan,['National holiday'],Azerbaijan,AZ
2023-11-09,State Flag Day of Azerbaijan,['National holiday'],Azerbaijan,AZ
2023-11-12,Constitution Day,['Observance'],Azerbaijan,AZ
2023-11-17,National Revival Day,['Observance'],Azerbaijan,AZ
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Azerbaijan,AZ
2023-12-31,World Azerbaijanis Solidarity Day,['National holiday'],Azerbaijan,AZ
2023-12-31,New Year's Eve,['Observance'],Azerbaijan,AZ
