Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Bahrain,BH
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Bahrain,BH
2023-03-23,Ramadan Start,['Observance'],Bahrain,BH
2023-04-21,Eid al-Fitr,['National holiday'],Bahrain,BH
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Bahrain,BH
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Bahrain,BH
2023-04-24,Eid al-Fitr Holiday,['National holiday'],Bahrain,BH
2023-05-01,May Day,['National holiday'],Bahrain,BH
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Bahrain,BH
2023-06-27,Arafat Day,['National holiday'],Bahrain,BH
2023-06-28,Eid al-Adha,['National holiday'],Bahrain,BH
2023-06-29,Eid al-Adha Holiday,['National holiday'],Bahrain,BH
2023-06-30,Eid al-Adha Holiday,['National holiday'],Bahrain,BH
2023-07-02,Day off for Eid al-Adha Holiday,['National holiday'],Bahrain,BH
2023-07-19,Muharram,['National holiday'],Bahrain,BH
2023-07-28,Ashoora,['National holiday'],Bahrain,BH
2023-07-29,Ashoora Holiday,['National holiday'],Bahrain,BH
2023-07-30,Ashoora Holiday,['National holiday'],Bahrain,BH
2023-07-31,Ashoora Holiday,['National holiday'],Bahrain,BH
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Bahrain,BH
2023-09-27,The Prophet's Birthday,['National holiday'],Bahrain,BH
2023-12-16,National Day,['National holiday'],Bahrain,BH
2023-12-17,National Day (second day),['National holiday'],Bahrain,BH
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Bahrain,BH
