Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Common local holiday'],Bangladesh,BD
2023-01-10,Bangabandhu Homecoming Day,['Common local holiday'],Bangladesh,BD
2023-01-26,Saraswati Puja,['Common local holiday'],Bangladesh,BD
2023-02-05,Maghi Purnima,['Optional holiday'],Bangladesh,BD
2023-02-14,Valentine's Day,['Observance'],Bangladesh,BD
2023-02-18,Maha Shivaratri,"['Hinduism', 'Common local holiday']",Bangladesh,BD
2023-02-19,Shab-e-Meraj,['Common local holiday'],Bangladesh,BD
2023-02-21,Language Martyrs' Day,['National holiday'],Bangladesh,BD
2023-02-22,Ash Wednesday,['Common local holiday'],Bangladesh,BD
2023-03-02,National Flag Day,['Common local holiday'],Bangladesh,BD
2023-03-07,Doljatra,['Optional holiday'],Bangladesh,BD
2023-03-08,Holi,['Hinduism'],Bangladesh,BD
2023-03-08,Shab e-Barat,['National holiday'],Bangladesh,BD
2023-03-17,Sheikh Mujibur Rahman’s birthday,['National holiday'],Bangladesh,BD
2023-03-19,Arrival Day of Sri Sri Harichand Tagore,['Optional holiday'],Bangladesh,BD
2023-03-21T03:24:20+06:00,March Equinox,['Season'],Bangladesh,BD
2023-03-24,Ramadan Start,['Observance'],Bangladesh,BD
2023-03-26,Independence Day,['National holiday'],Bangladesh,BD
2023-04-06,Maundy Thursday,['Common local holiday'],Bangladesh,BD
2023-04-07,Good Friday,['Common local holiday'],Bangladesh,BD
2023-04-08,Holy Saturday,['Common local holiday'],Bangladesh,BD
2023-04-09,Easter Day,['Common local holiday'],Bangladesh,BD
2023-04-10,Easter Monday,['Observance'],Bangladesh,BD
2023-04-13,Chaitra Sankranti,['Optional holiday'],Bangladesh,BD
2023-04-14,Bengali New Year,['National holiday'],Bangladesh,BD
2023-04-19,Shab-e-qadr,['National holiday'],Bangladesh,BD
2023-04-20,Eid ul-Fitr Holiday,['National holiday'],Bangladesh,BD
2023-04-21,Jumatul Bidah,['National holiday'],Bangladesh,BD
2023-04-21,Eid ul-Fitr Holiday,['National holiday'],Bangladesh,BD
2023-04-22,Eid ul-Fitr,['National holiday'],Bangladesh,BD
2023-04-23,Eid ul-Fitr Holiday,['National holiday'],Bangladesh,BD
2023-04-24,Eid ul-Fitr Holiday,['Optional holiday'],Bangladesh,BD
2023-05-01,May Day,['National holiday'],Bangladesh,BD
2023-05-04,Buddha Purnima/Vesak,['National holiday'],Bangladesh,BD
2023-05-14,Mothers' Day,['Observance'],Bangladesh,BD
2023-06-18,Fathers' Day,['Observance'],Bangladesh,BD
2023-06-21T20:57:49+06:00,June Solstice,['Season'],Bangladesh,BD
2023-06-27,Eid al-Adha Holiday,['Common local holiday'],Bangladesh,BD
2023-06-28,Eid al-Adha Holiday,['National holiday'],Bangladesh,BD
2023-06-29,Eid al-Adha,['National holiday'],Bangladesh,BD
2023-06-30,Eid al-Adha Holiday,['National holiday'],Bangladesh,BD
2023-07-01,July 1 Bank Holiday,['Common local holiday'],Bangladesh,BD
2023-07-19,Muharram,['National holiday'],Bangladesh,BD
2023-07-29,Ashura,['National holiday'],Bangladesh,BD
2023-08-01,Ashari Purnima,['Optional holiday'],Bangladesh,BD
2023-08-15,National Mourning Day,['National holiday'],Bangladesh,BD
2023-08-30,Raksha Bandhan,['Hinduism'],Bangladesh,BD
2023-09-06,Janmashtami,['Hinduism'],Bangladesh,BD
2023-09-13,Akhari Chahar Somba,['Optional holiday'],Bangladesh,BD
2023-09-19,Ganesh Chaturthi,['Hinduism'],Bangladesh,BD
2023-09-23T12:50:01+06:00,September Equinox,['Season'],Bangladesh,BD
2023-09-27,Eid e-Milad-un Nabi,['National holiday'],Bangladesh,BD
2023-09-28,Madhu Purnima,['Optional holiday'],Bangladesh,BD
2023-10-14,Mahalaya,['Optional holiday'],Bangladesh,BD
2023-10-15,First Day of Navaratri,['Hinduism'],Bangladesh,BD
2023-10-22,Ashtami,['Optional holiday'],Bangladesh,BD
2023-10-23,Mahanabami,['Optional holiday'],Bangladesh,BD
2023-10-24,Durga Puja,['Common local holiday'],Bangladesh,BD
2023-10-27,Fateha-i-Yajdaham,['Optional holiday'],Bangladesh,BD
2023-10-28,Lakshmi Puja,['Optional holiday'],Bangladesh,BD
2023-10-28,Prabarana Purnima,['Optional holiday'],Bangladesh,BD
2023-10-31,Halloween,['Observance'],Bangladesh,BD
2023-11-12,Sri Shayama Puja,['Optional holiday'],Bangladesh,BD
2023-12-16,Victory Day,['National holiday'],Bangladesh,BD
2023-12-22T09:27:21+06:00,December Solstice,['Season'],Bangladesh,BD
2023-12-24,Christmas Eve,['Common local holiday'],Bangladesh,BD
2023-12-25,Christmas Day,['National holiday'],Bangladesh,BD
2023-12-26,Boxing Day,['Common local holiday'],Bangladesh,BD
2023-12-31,New Year's Eve,['Common local holiday'],Bangladesh,BD
