Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Barbados,BB
2023-01-02,Day off for New Year's Day,['National holiday'],Barbados,BB
2023-01-21,Errol Barrow Day,['National holiday'],Barbados,BB
2023-02-14,Valentine's Day,['Observance'],Barbados,BB
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Barbados,BB
2023-04-07,Good Friday,['National holiday'],Barbados,BB
2023-04-09,Easter Sunday,['Observance'],Barbados,BB
2023-04-10,Easter Monday,['National holiday'],Barbados,BB
2023-04-28,National Heroes Day,['National holiday'],Barbados,BB
2023-05-01,Labor Day / May Day,['National holiday'],Barbados,BB
2023-05-14,Mothers' Day,['Observance'],Barbados,BB
2023-05-28,Whit Sunday,['Observance'],Barbados,BB
2023-05-29,Whit Monday,['National holiday'],Barbados,BB
2023-06-18,Fathers' Day,['Observance'],Barbados,BB
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Barbados,BB
2023-07-31,50th Anniversary of CARICOM Holiday,['National holiday'],Barbados,BB
2023-08-01,Emancipation Day,['National holiday'],Barbados,BB
2023-08-07,Kadooment Day,['National holiday'],Barbados,BB
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Barbados,BB
2023-10-31,Halloween,['Observance'],Barbados,BB
2023-11-30,Independence Day,['National holiday'],Barbados,BB
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Barbados,BB
2023-12-24,Christmas Eve,['Observance'],Barbados,BB
2023-12-25,Christmas Day,['National holiday'],Barbados,BB
2023-12-26,Boxing Day,['National holiday'],Barbados,BB
2023-12-31,Old Year's Night,['Observance'],Barbados,BB
