Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Belarus,BY
2023-01-02,New Year Holiday,['National holiday'],Belarus,BY
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",Belarus,BY
2023-02-14,Valentine's Day,['Observance'],Belarus,BY
2023-02-23,Defender of the Fatherland Day,['Observance'],Belarus,BY
2023-03-08,Women's Day,['National holiday'],Belarus,BY
2023-03-15,Constitution Day,['Observance'],Belarus,BY
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Belarus,BY
2023-04-02,Union Day of Belarus and Russia,['Observance'],Belarus,BY
2023-04-09,Catholic Easter Sunday,['Observance'],Belarus,BY
2023-04-16,Orthodox Easter Sunday,"['Observance', 'Orthodox']",Belarus,BY
2023-04-24,Radonitsa Holiday,['National holiday'],Belarus,BY
2023-04-25,Radonitsa,['National holiday'],Belarus,BY
2023-04-26,Day of Remembrance of the Chernobyl Tragedy,['Observance'],Belarus,BY
2023-04-29,Special Working Day,['Observance'],Belarus,BY
2023-05-01,Labour Day,['National holiday'],Belarus,BY
2023-05-08,Public Holiday,['National holiday'],Belarus,BY
2023-05-09,Victory Day,['National holiday'],Belarus,BY
2023-05-13,Special Working Day,['Weekend'],Belarus,BY
2023-05-14,Day of the National Emblem and Flag of Belarus,['Observance'],Belarus,BY
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Belarus,BY
2023-06-22,Remembrance Day of Victims of the Great Patriotic War,['Observance'],Belarus,BY
2023-07-03,Independence Day of the Republic of Belarus,['National holiday'],Belarus,BY
2023-07-06,Kupalle (Day 1),['Observance'],Belarus,BY
2023-07-07,Kupalle (Day 2),['Observance'],Belarus,BY
2023-09-17,National Unity Day,['Observance'],Belarus,BY
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Belarus,BY
2023-10-14,Mother's Day,['Observance'],Belarus,BY
2023-10-21,Father's Day,['Observance'],Belarus,BY
2023-11-02,Remembrance Day,['Observance'],Belarus,BY
2023-11-06,October Revolution Day Holiday,['National holiday'],Belarus,BY
2023-11-07,October Revolution Day,['National holiday'],Belarus,BY
2023-11-11,Special Working Day,['Observance'],Belarus,BY
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Belarus,BY
2023-12-25,Catholic Christmas Day,['National holiday'],Belarus,BY
2023-12-31,New Year's Eve,['Observance'],Belarus,BY
