Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Belgium,BE
2023-01-06,Epiphany,['Observance'],Belgium,BE
2023-02-14,Valentine's Day,['Observance'],Belgium,BE
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Belgium,BE
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Belgium,BE
2023-04-07,Good Friday,['Observance'],Belgium,BE
2023-04-09,Easter Sunday,['National holiday'],Belgium,BE
2023-04-10,Easter Monday,['National holiday'],Belgium,BE
2023-05-01,Labor Day / May Day,['National holiday'],Belgium,BE
2023-05-08,Iris Day,['Local holiday'],Belgium,BE
2023-05-14,Mother's Day,['Observance'],Belgium,BE
2023-05-18,Ascension Day,['National holiday'],Belgium,BE
2023-05-19,Day after Ascension Day,['Observance'],Belgium,BE
2023-05-28,Whit Sunday,['National holiday'],Belgium,BE
2023-05-29,Whit Monday,['National holiday'],Belgium,BE
2023-06-11,Father's Day,['Observance'],Belgium,BE
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Belgium,BE
2023-07-11,Day of the Flemish Community,['Local holiday'],Belgium,BE
2023-07-21,Belgian National Day,['National holiday'],Belgium,BE
2023-08-15,Assumption of Mary,['National holiday'],Belgium,BE
2023-09-17,Day of the Walloon Region,['Local holiday'],Belgium,BE
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Belgium,BE
2023-09-27,Day of the French Community,['Local holiday'],Belgium,BE
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Belgium,BE
2023-10-31,Halloween,['Observance'],Belgium,BE
2023-11-01,All Saints' Day,['National holiday'],Belgium,BE
2023-11-11,Armistice Day,['National holiday'],Belgium,BE
2023-11-15,Day of the German-speaking Community,['Local holiday'],Belgium,BE
2023-12-06,St. Nicholas Day,['Observance'],Belgium,BE
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Belgium,BE
2023-12-24,Christmas Eve,['Observance'],Belgium,BE
2023-12-25,Christmas Day,['National holiday'],Belgium,BE
2023-12-26,Boxing Day,['Observance'],Belgium,BE
2023-12-31,New Year's Eve,['Observance'],Belgium,BE
