Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Belize,BZ
2023-01-02,Day off for New Year's Day,['National holiday'],Belize,BZ
2023-01-15,George Price Day,['National holiday'],Belize,BZ
2023-01-16,Day off for George Price Day,['National holiday'],Belize,BZ
2023-03-06,Day off for National Heroes and Benefactors Day,['National holiday'],Belize,BZ
2023-03-09,National Heroes and Benefactors Day,['National holiday'],Belize,BZ
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Belize,BZ
2023-04-07,Good Friday,['National holiday'],Belize,BZ
2023-04-08,Holy Saturday,['National holiday'],Belize,BZ
2023-04-10,Easter Monday,['National holiday'],Belize,BZ
2023-05-01,Labor Day / May Day,['National holiday'],Belize,BZ
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Belize,BZ
2023-07-31,Day off for Emancipation Day,['National holiday'],Belize,BZ
2023-08-01,Emancipation Day,['National holiday'],Belize,BZ
2023-09-10,St. George's Caye Day,['National holiday'],Belize,BZ
2023-09-11,Day off for St. George's Caye Day,['National holiday'],Belize,BZ
2023-09-21,Independence Day,['National holiday'],Belize,BZ
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Belize,BZ
2023-10-09,Day off for El Día de la Raza,['National holiday'],Belize,BZ
2023-10-12,El Día de la Raza,['National holiday'],Belize,BZ
2023-11-19,Garifuna Settlement Day,['National holiday'],Belize,BZ
2023-11-20,Day off for Garifuna Settlement Day,['National holiday'],Belize,BZ
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Belize,BZ
2023-12-25,Christmas Day,['National holiday'],Belize,BZ
2023-12-26,Boxing Day,['National holiday'],Belize,BZ
