Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Benin,BJ
2023-01-10,Vodoun Festival,['National holiday'],Benin,BJ
2023-01-16,Day of Remembrance,['Observance'],Benin,BJ
2023-02-28,People's Sovereignty Day,['Observance'],Benin,BJ
2023-03-08,Women's Day,['Observance'],Benin,BJ
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Benin,BJ
2023-03-23,Ramadan Start,['Observance'],Benin,BJ
2023-04-10,Easter Monday,['National holiday'],Benin,BJ
2023-04-21,Korité,['National holiday'],Benin,BJ
2023-05-01,Labour Day,['National holiday'],Benin,BJ
2023-05-14,Mother's Day,['Observance'],Benin,BJ
2023-05-18,Ascension Day,['National holiday'],Benin,BJ
2023-05-29,Whit Monday,['National holiday'],Benin,BJ
2023-06-18,Father's Day,['Observance'],Benin,BJ
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Benin,BJ
2023-06-28,Tabaski,['National holiday'],Benin,BJ
2023-08-01,Independence Day,['National holiday'],Benin,BJ
2023-08-15,Assumption of Mary,['National holiday'],Benin,BJ
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Benin,BJ
2023-09-27,Maouloud,['National holiday'],Benin,BJ
2023-11-01,All Saints' Day,['National holiday'],Benin,BJ
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Benin,BJ
2023-12-25,Christmas Day,['National holiday'],Benin,BJ
