Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Bermuda,BM
2023-01-02,Day off for New Year's Day,['National holiday'],Bermuda,BM
2023-02-14,Valentine's Day,['Observance'],Bermuda,BM
2023-03-12T02:00:00-04:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Bermuda,BM
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Bermuda,BM
2023-04-07,Good Friday,['National holiday'],Bermuda,BM
2023-04-09,Easter Sunday,['Observance'],Bermuda,BM
2023-05-06,The Coronation of His Majesty King Charles III,['Observance'],Bermuda,BM
2023-05-08,Holiday for the Coronation of His Majesty King Charles III,['National holiday'],Bermuda,BM
2023-05-14,Mothers' Day,['Observance'],Bermuda,BM
2023-05-26,Bermuda Day,['National holiday'],Bermuda,BM
2023-06-18,Fathers' Day,['Observance'],Bermuda,BM
2023-06-19,National Heroes Day,['National holiday'],Bermuda,BM
2023-06-21T11:57:49-03:00,June Solstice,['Season'],Bermuda,BM
2023-08-03,Emancipation Day,['National holiday'],Bermuda,BM
2023-08-04,Mary Prince Day,['National holiday'],Bermuda,BM
2023-09-04,Labour Day,['National holiday'],Bermuda,BM
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Bermuda,BM
2023-10-31,Halloween,['Observance'],Bermuda,BM
2023-11-05T02:00:00-03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Bermuda,BM
2023-11-11,Remembrance Day,['National holiday'],Bermuda,BM
2023-11-13,Day off for Remembrance Day,['National holiday'],Bermuda,BM
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Bermuda,BM
2023-12-24,Christmas Eve,['Observance'],Bermuda,BM
2023-12-25,Christmas Day,['National holiday'],Bermuda,BM
2023-12-26,Boxing Day,['National holiday'],Bermuda,BM
2023-12-31,New Year's Eve,['Observance'],Bermuda,BM
