Date,Name,Type,Country Name,Country Code
2023-01-02,Winter Solstice (Nyilo),['National holiday'],Bhutan,BT
2023-01-22,Traditional Day of Offerings,['National holiday'],Bhutan,BT
2023-02-21,Losar (New Year),['National holiday'],Bhutan,BT
2023-02-21,King's Birthday,['National holiday'],Bhutan,BT
2023-02-22,Losar Holiday,['National holiday'],Bhutan,BT
2023-02-22,King's Birthday Holiday,['National holiday'],Bhutan,BT
2023-02-23,King's Birthday Holiday,['National holiday'],Bhutan,BT
2023-03-21T03:24:20+06:00,March Equinox,['Season'],Bhutan,BT
2023-04-20,Election Day,['National holiday'],Bhutan,BT
2023-04-30,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),['National holiday'],Bhutan,BT
2023-05-02,Birth Anniversary of Third Druk Gyalpo,['National holiday'],Bhutan,BT
2023-06-04,Buddha's Parinirvana,['National holiday'],Bhutan,BT
2023-06-21T20:57:49+06:00,June Solstice,['Season'],Bhutan,BT
2023-06-28,Birth Anniversary of Guru Rinpoche,['National holiday'],Bhutan,BT
2023-07-21,Buddha's First Sermon,['National holiday'],Bhutan,BT
2023-09-20,Thimphu Drubchoe (Thimphu only),['Local holiday'],Bhutan,BT
2023-09-23T12:50:01+06:00,September Equinox,['Season'],Bhutan,BT
2023-09-24,Blessed Rainy Day,['National holiday'],Bhutan,BT
2023-09-24,Thimphu Tshechu (Thimphu only),['Local holiday'],Bhutan,BT
2023-09-25,Thimphu Tshechu (Thimphu only),['Local holiday'],Bhutan,BT
2023-09-26,Thimphu Tshechu (Thimphu only),['Local holiday'],Bhutan,BT
2023-10-24,Dashain,['National holiday'],Bhutan,BT
2023-11-01,King Jigme Khesar Namgyel's Coronation,['National holiday'],Bhutan,BT
2023-11-04,Descending Day of Lord Buddha,['National holiday'],Bhutan,BT
2023-11-11,Birth Anniversary of the Fourth Druk Gyalpo/Consitution Day,['National holiday'],Bhutan,BT
2023-12-17,National Day,['National holiday'],Bhutan,BT
2023-12-22T09:27:21+06:00,December Solstice,['Season'],Bhutan,BT
