Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Bolivia,BO
2023-01-02,Day off for New Year's Day,['National holiday'],Bolivia,BO
2023-01-06,Epiphany,['Observance'],Bolivia,BO
2023-01-22,Plurinational State Foundation Day,['National holiday'],Bolivia,BO
2023-01-23,Day off for Plurinational State Foundation Day,['National holiday'],Bolivia,BO
2023-02-02,Feast of Candelaria,['Observance'],Bolivia,BO
2023-02-20,Carnival / Shrove Monday,['National holiday'],Bolivia,BO
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['National holiday'],Bolivia,BO
2023-03-19,Father Day,['Observance'],Bolivia,BO
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Bolivia,BO
2023-03-23,Day of the Sea,['Observance'],Bolivia,BO
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Bolivia,BO
2023-04-07,Good Friday,"['National holiday', 'Christian']",Bolivia,BO
2023-04-12,Children's Day,['Observance'],Bolivia,BO
2023-05-01,Labor Day / May Day,['National holiday'],Bolivia,BO
2023-05-27,Mother's Day,['Observance'],Bolivia,BO
2023-06-08,Corpus Christi,['National holiday'],Bolivia,BO
2023-06-21,Aymara New Year Day,['National holiday'],Bolivia,BO
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Bolivia,BO
2023-08-06,Independence Day,['National holiday'],Bolivia,BO
2023-08-07,Day off for Independence Day,['National holiday'],Bolivia,BO
2023-08-17,Flag Day,['Observance'],Bolivia,BO
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Bolivia,BO
2023-10-11,Bolivian Women's Day,['Observance'],Bolivia,BO
2023-10-12,Day of Decolonization,['Observance'],Bolivia,BO
2023-10-17,Day of Dignity,['National holiday'],Bolivia,BO
2023-11-02,All Saints Day,['National holiday'],Bolivia,BO
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Bolivia,BO
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Bolivia,BO
