Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Bosnia and Herzegovina,BA
2023-01-02,New Year's (Day 2),['National holiday'],Bosnia and Herzegovina,BA
2023-01-03,New Year Holiday,['Local holiday'],Bosnia and Herzegovina,BA
2023-01-06,Orthodox Christmas Eve,"['Orthodox', 'Optional holiday']",Bosnia and Herzegovina,BA
2023-01-07,Orthodox Christmas Day,"['Orthodox', 'Optional holiday']",Bosnia and Herzegovina,BA
2023-01-09,Day of the Republika Srpska,['Local holiday'],Bosnia and Herzegovina,BA
2023-01-14,Orthodox New Year,"['Local holiday', 'Orthodox']",Bosnia and Herzegovina,BA
2023-02-14,Valentine's Day,['Observance'],Bosnia and Herzegovina,BA
2023-03-01,Independence Day,['National holiday'],Bosnia and Herzegovina,BA
2023-03-08,Mothers' Day,['Observance'],Bosnia and Herzegovina,BA
2023-03-08,Brčko District Establishment Day,['Local holiday'],Bosnia and Herzegovina,BA
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Bosnia and Herzegovina,BA
2023-03-23,Ramadan Start,['Observance'],Bosnia and Herzegovina,BA
2023-04-07,Good Friday,['Optional holiday'],Bosnia and Herzegovina,BA
2023-04-08,Holy Saturday,['Observance'],Bosnia and Herzegovina,BA
2023-04-09,Easter Sunday,['Optional holiday'],Bosnia and Herzegovina,BA
2023-04-10,Easter Monday,['Optional holiday'],Bosnia and Herzegovina,BA
2023-04-14,Orthodox Good Friday,"['Orthodox', 'Optional holiday']",Bosnia and Herzegovina,BA
2023-04-15,Orthodox Holy Saturday,"['Observance', 'Orthodox']",Bosnia and Herzegovina,BA
2023-04-16,Orthodox Easter Sunday,"['Orthodox', 'Optional holiday']",Bosnia and Herzegovina,BA
2023-04-17,Orthodox Easter Monday,"['Orthodox', 'Optional holiday']",Bosnia and Herzegovina,BA
2023-04-21,End of Ramadan,['Optional holiday'],Bosnia and Herzegovina,BA
2023-04-22,End of Ramadan Holiday,['Optional holiday'],Bosnia and Herzegovina,BA
2023-05-01,Labor Day,['National holiday'],Bosnia and Herzegovina,BA
2023-05-02,Labor Day (Day 2),['National holiday'],Bosnia and Herzegovina,BA
2023-05-09,Victory Day,['Observance'],Bosnia and Herzegovina,BA
2023-05-09,Victory Day,['Local holiday'],Bosnia and Herzegovina,BA
2023-06-18,Fathers' Day,['Observance'],Bosnia and Herzegovina,BA
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Bosnia and Herzegovina,BA
2023-06-28,Feast of the Sacrifice,['Optional holiday'],Bosnia and Herzegovina,BA
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Bosnia and Herzegovina,BA
2023-10-31,Halloween,['Observance'],Bosnia and Herzegovina,BA
2023-11-01,All Saints' Day,['Local holiday'],Bosnia and Herzegovina,BA
2023-11-21,Dayton Peace Agreement Day,['Local holiday'],Bosnia and Herzegovina,BA
2023-11-25,Statehood Day,['Local holiday'],Bosnia and Herzegovina,BA
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Bosnia and Herzegovina,BA
2023-12-24,Christmas Eve,['Optional holiday'],Bosnia and Herzegovina,BA
2023-12-25,Christmas Day,['Optional holiday'],Bosnia and Herzegovina,BA
2023-12-31,New Year's Eve,['Observance'],Bosnia and Herzegovina,BA
