Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Botswana,BW
2023-01-02,Day off for New Year's Day,['National holiday'],Botswana,BW
2023-01-02,Public Holiday (January),['National holiday'],Botswana,BW
2023-01-03,Day off for Public Holiday (January),['National holiday'],Botswana,BW
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Botswana,BW
2023-04-07,Good Friday,['National holiday'],Botswana,BW
2023-04-08,Holy Saturday,['National holiday'],Botswana,BW
2023-04-10,Easter Monday,['National holiday'],Botswana,BW
2023-05-01,Labour Day,['National holiday'],Botswana,BW
2023-05-14,Mother's Day,['Observance'],Botswana,BW
2023-05-18,Ascension Day,['National holiday'],Botswana,BW
2023-06-18,Father's Day,['Observance'],Botswana,BW
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Botswana,BW
2023-07-01,Sir Seretse Khama Day,['National holiday'],Botswana,BW
2023-07-17,President's Day,['National holiday'],Botswana,BW
2023-07-18,Public Holiday (July),['National holiday'],Botswana,BW
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Botswana,BW
2023-09-30,Botswana Day,['National holiday'],Botswana,BW
2023-10-01,Public Holiday (October),['National holiday'],Botswana,BW
2023-10-02,Day off for Botswana Day,['National holiday'],Botswana,BW
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Botswana,BW
2023-12-25,Christmas Day,['National holiday'],Botswana,BW
2023-12-26,Boxing Day,['National holiday'],Botswana,BW
