Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],British Virgin Islands,VG
2023-01-02,Day off for New Year's Day,['National holiday'],British Virgin Islands,VG
2023-03-06,Lavity Stoutt's Birthday observed,['National holiday'],British Virgin Islands,VG
2023-03-07,Lavity Stoutt's Birthday,['National holiday'],British Virgin Islands,VG
2023-03-20T17:24:20-04:00,March Equinox,['Season'],British Virgin Islands,VG
2023-04-07,Good Friday,['National holiday'],British Virgin Islands,VG
2023-04-10,Easter Monday,['National holiday'],British Virgin Islands,VG
2023-05-06,The Coronation of King Charles III,['Observance'],British Virgin Islands,VG
2023-05-08,Holiday for the Coronation of King Charles III,['National holiday'],British Virgin Islands,VG
2023-05-29,Whit Monday,['National holiday'],British Virgin Islands,VG
2023-06-16,Sovereign's Birthday,['National holiday'],British Virgin Islands,VG
2023-06-21T10:57:49-04:00,June Solstice,['Season'],British Virgin Islands,VG
2023-07-03,Virgin Islands Day,['National holiday'],British Virgin Islands,VG
2023-08-07,Emancipation Monday,['National holiday'],British Virgin Islands,VG
2023-08-08,Emancipation Tuesday,['National holiday'],British Virgin Islands,VG
2023-08-09,Emancipation Wednesday,['National holiday'],British Virgin Islands,VG
2023-09-23T02:50:01-04:00,September Equinox,['Season'],British Virgin Islands,VG
2023-10-16,Heroes and Forefathers Day,['National holiday'],British Virgin Islands,VG
2023-10-21,Saint Ursula's Day,['Observance'],British Virgin Islands,VG
2023-11-27,The Great March of 1949 and Restoration Day,['National holiday'],British Virgin Islands,VG
2023-12-21T23:27:21-04:00,December Solstice,['Season'],British Virgin Islands,VG
2023-12-25,Christmas Day,['National holiday'],British Virgin Islands,VG
2023-12-26,Boxing Day,['National holiday'],British Virgin Islands,VG
