Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Brunei,BN
2023-01-02,Day off for New Year's Day,['National holiday'],Brunei,BN
2023-01-22,Lunar New Year,['National holiday'],Brunei,BN
2023-01-23,Day off for Lunar New Year,['National holiday'],Brunei,BN
2023-02-18,Isra and Mi'raj,['National holiday'],Brunei,BN
2023-02-23,National Day,['National holiday'],Brunei,BN
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Brunei,BN
2023-03-23,Ramadan Start,['National holiday'],Brunei,BN
2023-04-08,Nuzul Al-Qur'an,['National holiday'],Brunei,BN
2023-04-22,Eid ul Fitr,['National holiday'],Brunei,BN
2023-04-23,Eid Al Fitr Holiday,['National holiday'],Brunei,BN
2023-04-24,Eid Al Fitr Holiday,['National holiday'],Brunei,BN
2023-04-25,Day off for Eid Al Fitr Holiday,['National holiday'],Brunei,BN
2023-05-31,Royal Brunei Armed Forces Day,['National holiday'],Brunei,BN
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Brunei,BN
2023-06-29,Eid al-Adha,['National holiday'],Brunei,BN
2023-07-15,Sultan's Birthday,['National holiday'],Brunei,BN
2023-07-18,Muharram/Islamic New Year,['National holiday'],Brunei,BN
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Brunei,BN
2023-09-28,Milad un Nabi (Mawlid),['National holiday'],Brunei,BN
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Brunei,BN
2023-12-25,Christmas Day,['National holiday'],Brunei,BN
