Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Bulgaria,BG
2023-01-02,Day off for New Year's Day,['National holiday'],Bulgaria,BG
2023-02-01,Day of Remembrance and Respect to Victims of the Communist Regime,['Observance'],Bulgaria,BG
2023-03-01,Baba Marta,['Observance'],Bulgaria,BG
2023-03-03,Liberation Day,['National holiday'],Bulgaria,BG
2023-03-08,Mother’s Day,['Observance'],Bulgaria,BG
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Bulgaria,BG
2023-03-26T03:00:00+02:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Bulgaria,BG
2023-04-14,Good Friday,['National holiday'],Bulgaria,BG
2023-04-15,Holy Saturday,['National holiday'],Bulgaria,BG
2023-04-16,Easter Sunday,['National holiday'],Bulgaria,BG
2023-04-17,Easter Monday,['National holiday'],Bulgaria,BG
2023-05-01,Labor Day,['National holiday'],Bulgaria,BG
2023-05-06,St. George's Day,['National holiday'],Bulgaria,BG
2023-05-08,Day off for St. George's Day,['National holiday'],Bulgaria,BG
2023-05-24,Culture and Literacy Day,['National holiday'],Bulgaria,BG
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Bulgaria,BG
2023-07-01,July Morning,['Observance'],Bulgaria,BG
2023-09-06,Unification Day,['National holiday'],Bulgaria,BG
2023-09-22,Independence Day,['National holiday'],Bulgaria,BG
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Bulgaria,BG
2023-10-29T04:00:00+03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Bulgaria,BG
2023-11-01,Revival Day,['Optional holiday'],Bulgaria,BG
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Bulgaria,BG
2023-12-24,Christmas Eve,['National holiday'],Bulgaria,BG
2023-12-25,Christmas Day,['National holiday'],Bulgaria,BG
2023-12-26,Father’s Day,['Observance'],Bulgaria,BG
2023-12-26,Second day of Christmas,['National holiday'],Bulgaria,BG
2023-12-27,Christmas holiday,['National holiday'],Bulgaria,BG
