Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Burkina Faso,BF
2023-01-02,Day off for New Year,['National holiday'],Burkina Faso,BF
2023-01-03,Burkina Faso Popular Uprising Day,['National holiday'],Burkina Faso,BF
2023-03-08,International Women's Day,['National holiday'],Burkina Faso,BF
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Burkina Faso,BF
2023-03-23,Ramadan Start,['Observance'],Burkina Faso,BF
2023-04-10,Easter Monday,['National holiday'],Burkina Faso,BF
2023-04-21,Eid al-Fitr,['National holiday'],Burkina Faso,BF
2023-05-01,Labour Day,['National holiday'],Burkina Faso,BF
2023-05-18,Ascension Day,['National holiday'],Burkina Faso,BF
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Burkina Faso,BF
2023-06-28,Eid al-Adha,['National holiday'],Burkina Faso,BF
2023-08-05,National Day,['National holiday'],Burkina Faso,BF
2023-08-15,Assumption of Mary,['National holiday'],Burkina Faso,BF
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Burkina Faso,BF
2023-09-27,The Prophet's Birthday,['National holiday'],Burkina Faso,BF
2023-10-31,Martyrs' Day,['National holiday'],Burkina Faso,BF
2023-11-01,All Saints’ Day,['National holiday'],Burkina Faso,BF
2023-12-11,Proclamation of Independence Day,['National holiday'],Burkina Faso,BF
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Burkina Faso,BF
2023-12-25,Christmas Day,['National holiday'],Burkina Faso,BF
