Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Burundi,BI
2023-01-02,Day off for New Year,['National holiday'],Burundi,BI
2023-02-05,Unity Day,['National holiday'],Burundi,BI
2023-02-06,Day off for Unity Day,['National holiday'],Burundi,BI
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Burundi,BI
2023-04-06,President Ntaryamira Day,['National holiday'],Burundi,BI
2023-04-21,Eid ul Fitr,['National holiday'],Burundi,BI
2023-05-01,Labour Day,['National holiday'],Burundi,BI
2023-05-18,Ascension Day,['National holiday'],Burundi,BI
2023-06-08,President Pierre Nkurunziza Day,['National holiday'],Burundi,BI
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Burundi,BI
2023-06-28,Eid al-Adha,['National holiday'],Burundi,BI
2023-07-01,Independence Day,['National holiday'],Burundi,BI
2023-08-15,Assumption of Mary,['National holiday'],Burundi,BI
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Burundi,BI
2023-10-13,Prince Louis Rwagasore Day,['National holiday'],Burundi,BI
2023-10-21,President Ndadaye's Day,['National holiday'],Burundi,BI
2023-11-01,All Saints' Day,['National holiday'],Burundi,BI
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Burundi,BI
2023-12-25,Christmas Day,['National holiday'],Burundi,BI
