Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Cabo Verde,CV
2023-01-13,Freedom and Democracy Day,['National holiday'],Cabo Verde,CV
2023-01-20,National Heroes' Day,['National holiday'],Cabo Verde,CV
2023-02-22,Ash Wednesday,['Observance'],Cabo Verde,CV
2023-03-20T20:24:20-01:00,March Equinox,['Season'],Cabo Verde,CV
2023-04-06,Holy Thursday,['Observance'],Cabo Verde,CV
2023-04-07,Good Friday,"['National holiday', 'Christian']",Cabo Verde,CV
2023-04-09,Easter Sunday,['Observance'],Cabo Verde,CV
2023-05-01,Labour Day,['National holiday'],Cabo Verde,CV
2023-05-14,Mother's Day,['Observance'],Cabo Verde,CV
2023-06-01,Children's Day,['National holiday'],Cabo Verde,CV
2023-06-18,Father's Day,['Observance'],Cabo Verde,CV
2023-06-21T13:57:49-01:00,June Solstice,['Season'],Cabo Verde,CV
2023-07-05,Independence Day,['National holiday'],Cabo Verde,CV
2023-08-15,Assumption of Mary,['National holiday'],Cabo Verde,CV
2023-09-23T05:50:01-01:00,September Equinox,['Season'],Cabo Verde,CV
2023-11-01,All Saints' Day,['National holiday'],Cabo Verde,CV
2023-12-22T02:27:21-01:00,December Solstice,['Season'],Cabo Verde,CV
2023-12-25,Christmas Day,['National holiday'],Cabo Verde,CV
