Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Cambodia,KH
2023-01-07,Victory over Genocide Day,['National holiday'],Cambodia,KH
2023-03-08,International Women Day,['National holiday'],Cambodia,KH
2023-03-21T04:24:20+07:00,March Equinox,['Season'],Cambodia,KH
2023-04-14,Khmer New Year Day (Day 1),['National holiday'],Cambodia,KH
2023-04-15,Khmer New Year Day (Day 2),['National holiday'],Cambodia,KH
2023-04-16,Khmer New Year Day (Day 3),['National holiday'],Cambodia,KH
2023-05-01,Labour Day,['National holiday'],Cambodia,KH
2023-05-04,Visak Bochea Day,['National holiday'],Cambodia,KH
2023-05-08,Royal Plowing Ceremony,['National holiday'],Cambodia,KH
2023-05-14,King's Birthday,['National holiday'],Cambodia,KH
2023-06-18,King's Mother's Birthday,['National holiday'],Cambodia,KH
2023-06-21T21:57:49+07:00,June Solstice,['Season'],Cambodia,KH
2023-09-23T13:50:01+07:00,September Equinox,['Season'],Cambodia,KH
2023-09-24,Constitutional Day,['National holiday'],Cambodia,KH
2023-10-13,Pchum Ben Festival,['National holiday'],Cambodia,KH
2023-10-14,Pchum Ben Festival,['National holiday'],Cambodia,KH
2023-10-15,Pchum Ben Festival,['National holiday'],Cambodia,KH
2023-10-15,Commemoration Day of King's Father,['National holiday'],Cambodia,KH
2023-10-29,King's Coronation Day,['National holiday'],Cambodia,KH
2023-11-09,Independence Day,['National holiday'],Cambodia,KH
2023-11-26,Water Festival Ceremony (Day 1),['National holiday'],Cambodia,KH
2023-11-27,Water Festival Ceremony (Day 2),['National holiday'],Cambodia,KH
2023-11-28,Water Festival Ceremony (Day 3),['National holiday'],Cambodia,KH
2023-12-22T10:27:21+07:00,December Solstice,['Season'],Cambodia,KH
