Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Cameroon,CM
2023-01-02,New Year's Day observed,['National holiday'],Cameroon,CM
2023-02-11,Youth Day,['National holiday'],Cameroon,CM
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Cameroon,CM
2023-03-23,Ramadan Start,['Observance'],Cameroon,CM
2023-04-07,Good Friday,['National holiday'],Cameroon,CM
2023-04-09,Easter Sunday,['Observance'],Cameroon,CM
2023-04-21,Eid al-Fitr,['National holiday'],Cameroon,CM
2023-05-01,Labour Day,['National holiday'],Cameroon,CM
2023-05-18,Ascension Day,['National holiday'],Cameroon,CM
2023-05-20,National Day,['National holiday'],Cameroon,CM
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Cameroon,CM
2023-06-28,Eid al-Adha,['National holiday'],Cameroon,CM
2023-08-15,Assumption of Mary,['National holiday'],Cameroon,CM
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Cameroon,CM
2023-09-27,The Prophet's Birthday,['Observance'],Cameroon,CM
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Cameroon,CM
2023-12-25,Christmas Day,['National holiday'],Cameroon,CM
