Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Cayman Islands,KY
2023-01-02,Day off for New Year's Day,['National holiday'],Cayman Islands,KY
2023-01-23,National Heroes Day,['National holiday'],Cayman Islands,KY
2023-02-14,Valentine's Day,['Observance'],Cayman Islands,KY
2023-02-22,Ash Wednesday,['National holiday'],Cayman Islands,KY
2023-03-20T16:24:20-05:00,March Equinox,['Season'],Cayman Islands,KY
2023-04-07,Good Friday,['National holiday'],Cayman Islands,KY
2023-04-09,Easter Sunday,['Observance'],Cayman Islands,KY
2023-04-10,Easter Monday,['National holiday'],Cayman Islands,KY
2023-05-06,The Coronation of His Majesty King Charles III,['Observance'],Cayman Islands,KY
2023-05-08,Holiday for the Coronation of His Majesty King Charles III,['National holiday'],Cayman Islands,KY
2023-05-14,Mothers' Day,['Observance'],Cayman Islands,KY
2023-05-15,Discovery Day,['National holiday'],Cayman Islands,KY
2023-06-18,Fathers' Day,['Observance'],Cayman Islands,KY
2023-06-19,King Charles III's Birthday Holiday,['National holiday'],Cayman Islands,KY
2023-06-21T09:57:49-05:00,June Solstice,['Season'],Cayman Islands,KY
2023-07-03,Constitution Day,['National holiday'],Cayman Islands,KY
2023-09-23T01:50:01-05:00,September Equinox,['Season'],Cayman Islands,KY
2023-10-31,Halloween,['Observance'],Cayman Islands,KY
2023-11-13,Remembrance Day,['National holiday'],Cayman Islands,KY
2023-12-03,Cayman Thanksgiving,['Observance'],Cayman Islands,KY
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Cayman Islands,KY
2023-12-24,Christmas Eve,['Observance'],Cayman Islands,KY
2023-12-25,Christmas Day,['National holiday'],Cayman Islands,KY
2023-12-26,Boxing Day,['National holiday'],Cayman Islands,KY
2023-12-31,New Year's Eve,['Observance'],Cayman Islands,KY
