Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Central African Republic,CF
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Central African Republic,CF
2023-03-29,Commemoration of Boganda,['National holiday'],Central African Republic,CF
2023-04-10,Easter Monday,['National holiday'],Central African Republic,CF
2023-04-21,Eid al-Fitr,['National holiday'],Central African Republic,CF
2023-05-01,Labour Day,['National holiday'],Central African Republic,CF
2023-05-18,Ascension Day,['National holiday'],Central African Republic,CF
2023-05-29,Whit Monday,['National holiday'],Central African Republic,CF
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Central African Republic,CF
2023-06-28,Eid al-Adha,['National holiday'],Central African Republic,CF
2023-06-30,National Payer Day,['National holiday'],Central African Republic,CF
2023-08-13,Independence Day,['National holiday'],Central African Republic,CF
2023-08-15,Assumption of Mary,['National holiday'],Central African Republic,CF
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Central African Republic,CF
2023-11-01,All Saints' Day,['National holiday'],Central African Republic,CF
2023-12-01,Republic Day,['National holiday'],Central African Republic,CF
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Central African Republic,CF
2023-12-25,Christmas Day,['National holiday'],Central African Republic,CF
