Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Chad,TD
2023-01-02,New Year observed,['National holiday'],Chad,TD
2023-03-08,International Women's Day,['National holiday'],Chad,TD
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Chad,TD
2023-03-23,Ramadan Start,['Observance'],Chad,TD
2023-04-10,Easter Monday,['National holiday'],Chad,TD
2023-04-21,Eid al-Fitr,['National holiday'],Chad,TD
2023-05-01,May Day,['National holiday'],Chad,TD
2023-05-14,Mother's Day,['Observance'],Chad,TD
2023-06-18,Father's Day,['Observance'],Chad,TD
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Chad,TD
2023-06-28,Eid al-Adha,['National holiday'],Chad,TD
2023-08-11,Independence Day,['National holiday'],Chad,TD
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Chad,TD
2023-09-27,The Prophet's Birthday,['National holiday'],Chad,TD
2023-11-01,All Saints' Day,['National holiday'],Chad,TD
2023-11-28,Proclamation of the Republic,['National holiday'],Chad,TD
2023-12-01,Freedom and Democracy Day,['National holiday'],Chad,TD
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Chad,TD
2023-12-25,Christmas Day,['National holiday'],Chad,TD
