Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Chile,CL
2023-01-02,Day off for New Year's Day,['National holiday'],Chile,CL
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Chile,CL
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Chile,CL
2023-04-07,Good Friday,"['National holiday', 'Christian']",Chile,CL
2023-04-08,Holy Saturday,"['National holiday', 'Christian']",Chile,CL
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Chile,CL
2023-05-01,Labor Day / May Day,['National holiday'],Chile,CL
2023-05-07,Constitutional Council Elections,['National holiday'],Chile,CL
2023-05-21,Navy Day,['National holiday'],Chile,CL
2023-06-08,Corpus Christi,"['Observance', 'Christian']",Chile,CL
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Chile,CL
2023-06-21T10:57:49-04:00,National Day of Indigenous Peoples,['National holiday'],Chile,CL
2023-06-26,Saint Peter and Saint Paul,['National holiday'],Chile,CL
2023-07-16,Our Lady of Mount Carmel,['National holiday'],Chile,CL
2023-08-15,Assumption of Mary,['National holiday'],Chile,CL
2023-09-18,National Day,['National holiday'],Chile,CL
2023-09-19,Army Day,['National holiday'],Chile,CL
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Chile,CL
2023-10-09,Day of the Discovery of Two Worlds,['National holiday'],Chile,CL
2023-10-27,Reformation Day,['National holiday'],Chile,CL
2023-11-01,All Saints' Day,['National holiday'],Chile,CL
2023-12-08,Inmaculate Conception Day,['National holiday'],Chile,CL
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Chile,CL
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Chile,CL
2023-12-31,New Year's Eve,['Common local holiday'],Chile,CL
