Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Colombia,CO
2023-01-06,Epiphany,['Observance'],Colombia,CO
2023-01-09,Epiphany,['National holiday'],Colombia,CO
2023-03-08,Women's Day,['Observance'],Colombia,CO
2023-03-19,Saint Joseph's Day,['Observance'],Colombia,CO
2023-03-20,Saint Joseph's Day,['National holiday'],Colombia,CO
2023-03-20T16:24:20-05:00,March Equinox,['Season'],Colombia,CO
2023-04-02,Palm Sunday,"['Observance', 'Christian']",Colombia,CO
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Colombia,CO
2023-04-07,Good Friday,"['National holiday', 'Christian']",Colombia,CO
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Colombia,CO
2023-04-23,Language Day,['Observance'],Colombia,CO
2023-04-26,Secretaries' Day,['Observance'],Colombia,CO
2023-04-29,Day of Trees,['Observance'],Colombia,CO
2023-04-29,Children's Day,['Observance'],Colombia,CO
2023-05-01,Labor Day / May Day,['National holiday'],Colombia,CO
2023-05-14,Mother's Day,['Observance'],Colombia,CO
2023-05-15,Teacher's Day,['Observance'],Colombia,CO
2023-05-22,Ascension Day,['National holiday'],Colombia,CO
2023-06-08,Corpus Christi,['Observance'],Colombia,CO
2023-06-12,Corpus Christi,['National holiday'],Colombia,CO
2023-06-18,Father's Day,['Observance'],Colombia,CO
2023-06-19,Sacred Heart,['National holiday'],Colombia,CO
2023-06-21T09:57:49-05:00,June Solstice,['Season'],Colombia,CO
2023-06-29,Feast of Saint Peter and Saint Paul,['Observance'],Colombia,CO
2023-07-03,Feast of Saint Peter and Saint Paul,['National holiday'],Colombia,CO
2023-07-20,Independence Day,['National holiday'],Colombia,CO
2023-08-07,Battle of Boyacá Day,['National holiday'],Colombia,CO
2023-08-15,Assumption of Mary,['Observance'],Colombia,CO
2023-08-21,Assumption of Mary,['National holiday'],Colombia,CO
2023-09-16,Valentine's Day,['Observance'],Colombia,CO
2023-09-23T01:50:01-05:00,September Equinox,['Season'],Colombia,CO
2023-10-12,Columbus Day,['Observance'],Colombia,CO
2023-10-16,Columbus Day,['National holiday'],Colombia,CO
2023-10-31,Halloween,['Observance'],Colombia,CO
2023-11-01,All Saints' Day,['Observance'],Colombia,CO
2023-11-06,All Saints' Day,['National holiday'],Colombia,CO
2023-11-11,Independence of Cartagena,['Observance'],Colombia,CO
2023-11-13,Independence of Cartagena,['National holiday'],Colombia,CO
2023-11-14,Colombian Women's Day,['Observance'],Colombia,CO
2023-12-07,Eve of the Feast of the Immaculate Conception,['Observance'],Colombia,CO
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Colombia,CO
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Colombia,CO
2023-12-24,Christmas Eve,['Observance'],Colombia,CO
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Colombia,CO
2023-12-31,New Year's Eve,['Observance'],Colombia,CO
