Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Comoros,KM
2023-02-19,Isra and Mi'raj,['National holiday'],Comoros,KM
2023-03-18,Cheikh Al Maarouf Day,['National holiday'],Comoros,KM
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Comoros,KM
2023-03-24,Ramadan Start,['Observance'],Comoros,KM
2023-04-21,Eid al-Fitr,['National holiday'],Comoros,KM
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Comoros,KM
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Comoros,KM
2023-05-01,Labour Day,['National holiday'],Comoros,KM
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Comoros,KM
2023-06-29,Eid al-Adha,['National holiday'],Comoros,KM
2023-06-30,Eid al-Adha Holiday,['National holiday'],Comoros,KM
2023-07-06,National Day,['National holiday'],Comoros,KM
2023-07-19,Muharram,['National holiday'],Comoros,KM
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Comoros,KM
2023-09-27,The Prophet's Birthday,['National holiday'],Comoros,KM
2023-11-12,Maore Day,['National holiday'],Comoros,KM
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Comoros,KM
