Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Congo Democratic Republic,CD
2023-01-04,Martyrs of Independence Day,['National holiday'],Congo Democratic Republic,CD
2023-01-16,Anniversary of President Laurent Kabila’s Assassination,['National holiday'],Congo Democratic Republic,CD
2023-01-17,Anniversary of Prime Minister Patrice Emery Lumumba’s Assassination,['National holiday'],Congo Democratic Republic,CD
2023-02-14,Valentine's Day,['Observance'],Congo Democratic Republic,CD
2023-03-08,International Women's Day,['Observance'],Congo Democratic Republic,CD
2023-03-20,International Francophonie Day,['Observance'],Congo Democratic Republic,CD
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Congo Democratic Republic,CD
2023-04-30,Education Day,['Observance'],Congo Democratic Republic,CD
2023-05-01,May Day,['National holiday'],Congo Democratic Republic,CD
2023-05-17,Liberation Day,['National holiday'],Congo Democratic Republic,CD
2023-06-21,Music Festival,['Observance'],Congo Democratic Republic,CD
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Congo Democratic Republic,CD
2023-06-30,Independence Day,['National holiday'],Congo Democratic Republic,CD
2023-08-01,Parents' Day,['National holiday'],Congo Democratic Republic,CD
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Congo Democratic Republic,CD
2023-09-27,World Tourism Day,['Observance'],Congo Democratic Republic,CD
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Congo Democratic Republic,CD
2023-12-24,Christmas Eve,['Observance'],Congo Democratic Republic,CD
2023-12-25,Christmas Day,['National holiday'],Congo Democratic Republic,CD
2023-12-31,New Year's Eve,['Observance'],Congo Democratic Republic,CD
