Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Congo,CG
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Congo,CG
2023-04-09,Easter Sunday,['Observance'],Congo,CG
2023-04-10,Easter Monday,['National holiday'],Congo,CG
2023-05-01,Labour Day,['National holiday'],Congo,CG
2023-05-14,Mother's Day,['Observance'],Congo,CG
2023-05-18,Ascension Day,['National holiday'],Congo,CG
2023-05-29,Whit Monday,['National holiday'],Congo,CG
2023-06-10,Reconciliation Day,['National holiday'],Congo,CG
2023-06-18,Father's Day,['Observance'],Congo,CG
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Congo,CG
2023-08-15,Independence Day,['National holiday'],Congo,CG
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Congo,CG
2023-11-01,All Saints' Day,['National holiday'],Congo,CG
2023-11-28,Republic Day,['National holiday'],Congo,CG
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Congo,CG
2023-12-25,Christmas Day,['National holiday'],Congo,CG
