Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Cook Islands,CK
2023-01-02,New Year's Day observed,['National holiday'],Cook Islands,CK
2023-01-02,Day After New Year's Day,['National holiday'],Cook Islands,CK
2023-01-03,Day After New Year's Day observed,['National holiday'],Cook Islands,CK
2023-03-20T11:24:20-10:00,March Equinox,['Season'],Cook Islands,CK
2023-04-07,Good Friday,['National holiday'],Cook Islands,CK
2023-04-09,Easter Sunday,['Observance'],Cook Islands,CK
2023-04-10,Easter Monday,['National holiday'],Cook Islands,CK
2023-04-25,ANZAC Day,['National holiday'],Cook Islands,CK
2023-06-05,Sovereign's Birthday,['National holiday'],Cook Islands,CK
2023-06-21T04:57:49-10:00,June Solstice,['Season'],Cook Islands,CK
2023-07-07,Ui Ariki Day,['National holiday'],Cook Islands,CK
2023-08-04,Constitution Day,['National holiday'],Cook Islands,CK
2023-09-22T20:50:01-10:00,September Equinox,['Season'],Cook Islands,CK
2023-10-26,Gospel Day,['National holiday'],Cook Islands,CK
2023-12-21T17:27:21-10:00,December Solstice,['Season'],Cook Islands,CK
2023-12-25,Christmas Day,['National holiday'],Cook Islands,CK
2023-12-26,Boxing Day,['National holiday'],Cook Islands,CK
