Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Costa Rica,CR
2023-03-19,Saint Joseph's Day,['Observance'],Costa Rica,CR
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Costa Rica,CR
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Costa Rica,CR
2023-04-07,Good Friday,"['National holiday', 'Christian']",Costa Rica,CR
2023-04-10,Battle of Rivas,['National holiday'],Costa Rica,CR
2023-04-11,Battle of Rivas,['Observance'],Costa Rica,CR
2023-05-01,Labor Day / May Day,['National holiday'],Costa Rica,CR
2023-06-18,Father's Day,['Observance'],Costa Rica,CR
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Costa Rica,CR
2023-07-24,Annexation of Guanacaste,['National holiday'],Costa Rica,CR
2023-07-25,Annexation of Guanacaste,['Observance'],Costa Rica,CR
2023-08-02,Our Lady of Los Ángeles,['National holiday'],Costa Rica,CR
2023-08-14,Mother's Day,['National holiday'],Costa Rica,CR
2023-08-15,Mother's Day,['Observance'],Costa Rica,CR
2023-08-24,National Parks Day,['Observance'],Costa Rica,CR
2023-09-03,Day of the Black Person and Afro-Costa Rican Culture,['National holiday'],Costa Rica,CR
2023-09-09,Children's Day,['Observance'],Costa Rica,CR
2023-09-15,Independence Day,['National holiday'],Costa Rica,CR
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Costa Rica,CR
2023-11-02,All Souls' Day,['Observance'],Costa Rica,CR
2023-11-22,Teacher's Day,['Observance'],Costa Rica,CR
2023-12-01,Day of Abolition of the Army,['National holiday'],Costa Rica,CR
2023-12-08,Feast of the Immaculate Conception,['Observance'],Costa Rica,CR
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Costa Rica,CR
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Costa Rica,CR
2023-12-31,New Year's Eve,['Observance'],Costa Rica,CR
