Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Cote d’Ivoire,CI
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Cote d’Ivoire,CI
2023-03-23,Ramadan Start,['Observance'],Cote d’Ivoire,CI
2023-04-10,Easter Monday,['National holiday'],Cote d’Ivoire,CI
2023-04-18,Day After Laila tou-Kadr,['National holiday'],Cote d’Ivoire,CI
2023-04-21,Aid el-Fitr,['National holiday'],Cote d’Ivoire,CI
2023-05-01,Labor Day,['National holiday'],Cote d’Ivoire,CI
2023-05-18,Ascension Day,['National holiday'],Cote d’Ivoire,CI
2023-05-29,Whit Monday,['National holiday'],Cote d’Ivoire,CI
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Cote d’Ivoire,CI
2023-06-28,Aid el-Kebir,['National holiday'],Cote d’Ivoire,CI
2023-08-07,Independence Day,['National holiday'],Cote d’Ivoire,CI
2023-08-15,Assumption of Mary,['National holiday'],Cote d’Ivoire,CI
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Cote d’Ivoire,CI
2023-09-27,The Day After Prophet's Birthday,['National holiday'],Cote d’Ivoire,CI
2023-11-01,All Saints Day,['National holiday'],Cote d’Ivoire,CI
2023-11-15,National Peace Day,['National holiday'],Cote d’Ivoire,CI
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Cote d’Ivoire,CI
2023-12-25,Christmas Day,['National holiday'],Cote d’Ivoire,CI
