Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Croatia,HR
2023-01-06,Epiphany,['National holiday'],Croatia,HR
2023-01-07,Orthodox Christmas Day,['Optional holiday'],Croatia,HR
2023-01-09,Međimurje Unification Day,['Observance'],Croatia,HR
2023-01-15,Day of the International Recognition of the Republic of Croatia,['Observance'],Croatia,HR
2023-01-15,Day of Peaceful Reintegration of the Croatian Danube Region,['Observance'],Croatia,HR
2023-03-15,Day of the Establishment of the National Protection in the Republic of Croatia,['Observance'],Croatia,HR
2023-03-19,Father’s Day,['Observance'],Croatia,HR
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Croatia,HR
2023-03-23,Ramadan Start,['Observance'],Croatia,HR
2023-04-09,Easter Sunday,['National holiday'],Croatia,HR
2023-04-10,Easter Monday,['National holiday'],Croatia,HR
2023-04-16,Orthodox Easter Day,['Optional holiday'],Croatia,HR
2023-04-17,Orthodox Easter Monday,['Optional holiday'],Croatia,HR
2023-04-21,Ramadan Bayram,['Optional holiday'],Croatia,HR
2023-04-30,Day of the Deaths of Zrinski and Frankopan,['Observance'],Croatia,HR
2023-05-01,Labor Day / May Day,['National holiday'],Croatia,HR
2023-05-09,Europe Day and Victory Day Over Fascism,['Observance'],Croatia,HR
2023-05-14,Mother’s Day,['Observance'],Croatia,HR
2023-05-30,Statehood Day,['National holiday'],Croatia,HR
2023-06-08,Corpus Christi,['National holiday'],Croatia,HR
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Croatia,HR
2023-06-22,Day of Antifascist Struggle,['National holiday'],Croatia,HR
2023-06-25,Independence Day,['Observance'],Croatia,HR
2023-06-28,Kurban Bayram,['Optional holiday'],Croatia,HR
2023-08-05,Victory Day,['National holiday'],Croatia,HR
2023-08-15,Assumption of Mary,['National holiday'],Croatia,HR
2023-08-23,European Day of Remembrance of Victims of Totalitarian and Authoritarian Regimes,['Observance'],Croatia,HR
2023-08-30,Day of Remembrance of Missing Persons in the Homeland War,['Observance'],Croatia,HR
2023-09-16,Rosh Hashana,['Optional holiday'],Croatia,HR
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Croatia,HR
2023-09-25,Yom Kippur,['Optional holiday'],Croatia,HR
2023-09-25,"Unification Day of Istria, Rijeka, Zadar, and the Islands",['Observance'],Croatia,HR
2023-10-08,Day of the Croatian Parliament,['Observance'],Croatia,HR
2023-11-01,All Saints' Day,['National holiday'],Croatia,HR
2023-11-18,Remembrance Day,['National holiday'],Croatia,HR
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Croatia,HR
2023-12-25,Christmas Day,['National holiday'],Croatia,HR
2023-12-26,St Stephen's Day,['National holiday'],Croatia,HR
