Date,Name,Type,Country Name,Country Code
2023-01-01,Liberation Day,['National holiday'],Cuba,CU
2023-01-02,Victory Day,['National holiday'],Cuba,CU
2023-01-03,Day off for Liberation Day,['National holiday'],Cuba,CU
2023-01-06,Epiphany,['Observance'],Cuba,CU
2023-01-28,José Martí's Birthday Memorial,['Observance'],Cuba,CU
2023-03-12T00:00:00-05:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Cuba,CU
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Cuba,CU
2023-04-02,Palm Sunday,"['Observance', 'Christian']",Cuba,CU
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Cuba,CU
2023-04-07,Good Friday,['National holiday'],Cuba,CU
2023-05-01,Labor Day / May Day,['National holiday'],Cuba,CU
2023-05-14,Mother's Day,['Observance'],Cuba,CU
2023-05-20,Independence Day,['Observance'],Cuba,CU
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Cuba,CU
2023-07-25,Revolution Anniversary,['National holiday'],Cuba,CU
2023-07-26,Day of the Rebellion,['National holiday'],Cuba,CU
2023-07-27,Revolution Anniversary Celebration,['National holiday'],Cuba,CU
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Cuba,CU
2023-10-10,Beginning of the War of Independence,['National holiday'],Cuba,CU
2023-11-05T01:00:00-04:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Cuba,CU
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Cuba,CU
2023-12-25,Christmas Day,['National holiday'],Cuba,CU
2023-12-31,New Year's Eve,['National holiday'],Cuba,CU
