Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Curaçao,CW
2023-02-20,Carnival Monday,['National holiday'],Curaçao,CW
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Curaçao,CW
2023-04-07,Good Friday,['National holiday'],Curaçao,CW
2023-04-09,Easter Sunday,['National holiday'],Curaçao,CW
2023-04-10,Easter Monday,['National holiday'],Curaçao,CW
2023-04-27,King's Birthday,['National holiday'],Curaçao,CW
2023-05-01,Labor Day / May Day,['National holiday'],Curaçao,CW
2023-05-18,Ascension Day,['National holiday'],Curaçao,CW
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Curaçao,CW
2023-07-02,Flag Day,['National holiday'],Curaçao,CW
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Curaçao,CW
2023-10-10,Curaçao Day,['National holiday'],Curaçao,CW
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Curaçao,CW
2023-12-25,Christmas Day,['National holiday'],Curaçao,CW
2023-12-26,Boxing Day,['National holiday'],Curaçao,CW
2023-12-31,New Year's Eve,['Half-day holiday'],Curaçao,CW
