Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Czechia,CZ
2023-01-01,Restoration of the Czech Independence Day,['National holiday'],Czechia,CZ
2023-02-14,St. Valentine's Day,['Observance'],Czechia,CZ
2023-02-22,Carnival / Ash Wednesday,['Christian'],Czechia,CZ
2023-03-08,International Women's Day,['Observance'],Czechia,CZ
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Czechia,CZ
2023-04-02,Palm Sunday,['Christian'],Czechia,CZ
2023-04-06,Maundy Thursday,['Christian'],Czechia,CZ
2023-04-07,Good Friday,['National holiday'],Czechia,CZ
2023-04-08,Holy Saturday,['Christian'],Czechia,CZ
2023-04-09,Easter Sunday,['Christian'],Czechia,CZ
2023-04-10,Easter Monday,['National holiday'],Czechia,CZ
2023-05-01,Labor Day / May Day,['National holiday'],Czechia,CZ
2023-05-08,Victory in Europe Day,['National holiday'],Czechia,CZ
2023-05-14,Mother's Day,['Observance'],Czechia,CZ
2023-05-18,Ascension Day,['Christian'],Czechia,CZ
2023-05-28,Whit Sunday,['Christian'],Czechia,CZ
2023-05-29,Whit Monday,['Christian'],Czechia,CZ
2023-06-01,Children's Day,['Observance'],Czechia,CZ
2023-06-04,Trinity,['Christian'],Czechia,CZ
2023-06-18,Father's Day,['Observance'],Czechia,CZ
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Czechia,CZ
2023-07-05,Day of Saints Cyril and Methodius,['National holiday'],Czechia,CZ
2023-07-06,Jan Hus Day,['National holiday'],Czechia,CZ
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Czechia,CZ
2023-09-28,St. Wenceslas Day,['National holiday'],Czechia,CZ
2023-10-28,Independent Czechoslovak State Day,['National holiday'],Czechia,CZ
2023-11-17,Struggle for Freedom and Democracy Day,['National holiday'],Czechia,CZ
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Czechia,CZ
2023-12-24,Christmas Eve,['National holiday'],Czechia,CZ
2023-12-25,Christmas Day,['National holiday'],Czechia,CZ
2023-12-26,St. Stephen's Day,['National holiday'],Czechia,CZ
