Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Denmark,DK
2023-02-14,Valentine's Day,['Observance'],Denmark,DK
2023-02-19,Carnival,['Observance'],Denmark,DK
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Denmark,DK
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Denmark,DK
2023-04-02,Palm Sunday,['Observance'],Denmark,DK
2023-04-06,Maundy Thursday,['National holiday'],Denmark,DK
2023-04-07,Good Friday,['National holiday'],Denmark,DK
2023-04-09,Easter Sunday,['National holiday'],Denmark,DK
2023-04-10,Easter Monday,['National holiday'],Denmark,DK
2023-05-01,Labor Day / May Day,['Optional holiday'],Denmark,DK
2023-05-05,Great Prayer Day,['National holiday'],Denmark,DK
2023-05-05,Liberation Day,['Observance'],Denmark,DK
2023-05-14,Mother’s Day,['Observance'],Denmark,DK
2023-05-18,Ascension Day,['National holiday'],Denmark,DK
2023-05-28,Whit Sunday,['National holiday'],Denmark,DK
2023-05-29,Whit Monday,['National holiday'],Denmark,DK
2023-06-05,Father’s Day,['Observance'],Denmark,DK
2023-06-05,Constitution Day,['Optional holiday'],Denmark,DK
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Denmark,DK
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Denmark,DK
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Denmark,DK
2023-10-31,Halloween,['Observance'],Denmark,DK
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Denmark,DK
2023-12-24,Christmas Eve,['Observance'],Denmark,DK
2023-12-24,Christmas Eve,['Observance'],Denmark,DK
2023-12-25,Christmas Day,['National holiday'],Denmark,DK
2023-12-26,2nd Christmas Day,['National holiday'],Denmark,DK
2023-12-31,New Year's Eve,['Observance'],Denmark,DK
2023-12-31,New Year's Eve,['Observance'],Denmark,DK
