Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Djibouti,DJ
2023-02-18,Isra and Miraj,['National holiday'],Djibouti,DJ
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Djibouti,DJ
2023-03-23,Ramadan Start,['Observance'],Djibouti,DJ
2023-04-21,Eid al-Fitr,['National holiday'],Djibouti,DJ
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Djibouti,DJ
2023-05-01,Labor Day / May Day,['National holiday'],Djibouti,DJ
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Djibouti,DJ
2023-06-27,Arafat Day,['National holiday'],Djibouti,DJ
2023-06-27,Independence Day,['National holiday'],Djibouti,DJ
2023-06-28,Eid al-Adha,['National holiday'],Djibouti,DJ
2023-06-28,Independence Day Holiday,['National holiday'],Djibouti,DJ
2023-06-29,Eid al-Adha Holiday,['National holiday'],Djibouti,DJ
2023-07-19,Muharram,['National holiday'],Djibouti,DJ
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Djibouti,DJ
2023-09-27,Milad un Nabi (Mawlid),['National holiday'],Djibouti,DJ
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Djibouti,DJ
