Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Dominica,DM
2023-01-02,New Year's Day observed,['National holiday'],Dominica,DM
2023-02-20,Carnival Monday,['National holiday'],Dominica,DM
2023-02-21,Carnival Tuesday,['National holiday'],Dominica,DM
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Dominica,DM
2023-04-07,Good Friday,['National holiday'],Dominica,DM
2023-04-10,Easter Monday,['National holiday'],Dominica,DM
2023-05-01,Labor Day / May Day,['National holiday'],Dominica,DM
2023-05-29,Whit Monday,['National holiday'],Dominica,DM
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Dominica,DM
2023-08-07,Emancipation Day,['National holiday'],Dominica,DM
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Dominica,DM
2023-11-03,Independence Day,['National holiday'],Dominica,DM
2023-11-04,Community Service Day,['National holiday'],Dominica,DM
2023-11-12,Remembrance Sunday,['Observance'],Dominica,DM
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Dominica,DM
2023-12-25,Christmas Day,['National holiday'],Dominica,DM
2023-12-26,Boxing Day,['National holiday'],Dominica,DM
