Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Dominican Republic,DO
2023-01-06,Epiphany,['Observance'],Dominican Republic,DO
2023-01-09,Epiphany,['National holiday'],Dominican Republic,DO
2023-01-21,Our Lady of Altagracia,['National holiday'],Dominican Republic,DO
2023-01-26,Duarte's Day,['Observance'],Dominican Republic,DO
2023-01-30,Day off for Duarte's Day,['National holiday'],Dominican Republic,DO
2023-02-27,Independence Day,['National holiday'],Dominican Republic,DO
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Dominican Republic,DO
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Dominican Republic,DO
2023-04-07,Good Friday,"['National holiday', 'Christian']",Dominican Republic,DO
2023-05-01,Labor Day,['National holiday'],Dominican Republic,DO
2023-05-28,Mother's Day,['Observance'],Dominican Republic,DO
2023-06-08,Corpus Christi,['National holiday'],Dominican Republic,DO
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Dominican Republic,DO
2023-07-30,Father's Day,['Observance'],Dominican Republic,DO
2023-08-16,Restoration Day,['National holiday'],Dominican Republic,DO
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Dominican Republic,DO
2023-09-24,Feast of Our Lady of Mercy,['National holiday'],Dominican Republic,DO
2023-11-06,Constitution Day,['National holiday'],Dominican Republic,DO
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Dominican Republic,DO
2023-12-24,Christmas Eve,['Observance'],Dominican Republic,DO
2023-12-25,Christmas Day,['National holiday'],Dominican Republic,DO
2023-12-31,New Year's Eve,['Observance'],Dominican Republic,DO
