Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],East Timor,TL
2023-01-22,Lunar New Year,['National holiday'],East Timor,TL
2023-02-22,Carnival / Ash Wednesday,['National holiday'],East Timor,TL
2023-03-03,Veteran's Day,['National holiday'],East Timor,TL
2023-03-21T06:24:20+09:00,March Equinox,['Season'],East Timor,TL
2023-04-07,Good Friday,['National holiday'],East Timor,TL
2023-04-20,Total Eclipse Holiday,['National holiday'],East Timor,TL
2023-04-21,Eid ul Fitr,['National holiday'],East Timor,TL
2023-05-01,Labor Day / May Day,['National holiday'],East Timor,TL
2023-05-20,Restoration of Independence Day,['National holiday'],East Timor,TL
2023-06-08,Corpus Christi,['National holiday'],East Timor,TL
2023-06-21T23:57:49+09:00,June Solstice,['Season'],East Timor,TL
2023-06-29,Eid al-Adha,['National holiday'],East Timor,TL
2023-08-30,Popular Consultation Day,['National holiday'],East Timor,TL
2023-09-23T15:50:01+09:00,September Equinox,['Season'],East Timor,TL
2023-11-01,All Saints' Day,['National holiday'],East Timor,TL
2023-11-02,All Souls' Day,['National holiday'],East Timor,TL
2023-11-12,Youth National Day,['National holiday'],East Timor,TL
2023-11-28,Proclamation of Independence Day,['National holiday'],East Timor,TL
2023-12-07,Day of Remembrance,['National holiday'],East Timor,TL
2023-12-08,Day of Our Lady of Immaculate Conception,['National holiday'],East Timor,TL
2023-12-22T12:27:21+09:00,December Solstice,['Season'],East Timor,TL
2023-12-25,Christmas Day,['National holiday'],East Timor,TL
2023-12-31,National Heroes Day,['National holiday'],East Timor,TL
