Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Ecuador,EC
2023-01-02,Day off for New Year's Day,['National holiday'],Ecuador,EC
2023-02-06,Public Holiday,['National holiday'],Ecuador,EC
2023-02-20,Carnival,['National holiday'],Ecuador,EC
2023-02-21,Carnival,['National holiday'],Ecuador,EC
2023-03-20T16:24:20-05:00,March Equinox,['Season'],Ecuador,EC
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Ecuador,EC
2023-04-07,Good Friday,"['National holiday', 'Christian']",Ecuador,EC
2023-04-08,Holy Saturday,"['Observance', 'Christian']",Ecuador,EC
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Ecuador,EC
2023-05-01,Labor Day / May Day,['National holiday'],Ecuador,EC
2023-05-24,The Battle of Pichincha,['National holiday'],Ecuador,EC
2023-05-26,Day off for The Battle of Pichincha,['National holiday'],Ecuador,EC
2023-06-21T09:57:49-05:00,June Solstice,['Season'],Ecuador,EC
2023-07-24,Simón Bolívar's Birthday Memorial,['Observance'],Ecuador,EC
2023-08-10,Independence Day,['National holiday'],Ecuador,EC
2023-08-11,Day off for Independence Day,['National holiday'],Ecuador,EC
2023-09-23T01:50:01-05:00,September Equinox,['Season'],Ecuador,EC
2023-10-09,Independence of Guayaquil,['National holiday'],Ecuador,EC
2023-11-02,All Souls' Day,['National holiday'],Ecuador,EC
2023-11-03,Independence of Cuenca,['National holiday'],Ecuador,EC
2023-12-06,Foundation of Quito,['Local holiday'],Ecuador,EC
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Ecuador,EC
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Ecuador,EC
2023-12-31,New Year's Eve,['Observance'],Ecuador,EC
