Date,Name,Type,Country Name,Country Code
2023-01-07,Coptic Christmas Day,['National holiday'],Egypt,EG
2023-01-25,Revolution Day January 25,['National holiday'],Egypt,EG
2023-01-26,Day off for Revolution Day January 25,['National holiday'],Egypt,EG
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Egypt,EG
2023-03-23,Ramadan Start,['Observance'],Egypt,EG
2023-04-14,Coptic Good Friday,['Observance'],Egypt,EG
2023-04-15,Coptic Holy Saturday,['Observance'],Egypt,EG
2023-04-16,Coptic Easter Sunday,['Observance'],Egypt,EG
2023-04-17,Spring Festival,['National holiday'],Egypt,EG
2023-04-20,Eid el Fitr Holiday,['National holiday'],Egypt,EG
2023-04-21,Eid el Fitr,['National holiday'],Egypt,EG
2023-04-22,Eid el Fitr Holiday,['National holiday'],Egypt,EG
2023-04-23,Eid el Fitr Holiday,['National holiday'],Egypt,EG
2023-04-24,Eid el Fitr Holiday,['National holiday'],Egypt,EG
2023-04-25,Sinai Liberation Day,['National holiday'],Egypt,EG
2023-05-01,Labor Day,['National holiday'],Egypt,EG
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Egypt,EG
2023-06-27,Arafat Day,['National holiday'],Egypt,EG
2023-06-28,Eid al-Adha,['National holiday'],Egypt,EG
2023-06-29,Eid al-Adha Holiday,['National holiday'],Egypt,EG
2023-06-30,June 30 Revolution,['National holiday'],Egypt,EG
2023-06-30,Eid al-Adha Holiday,['National holiday'],Egypt,EG
2023-07-01,Eid al-Adha Holiday,['National holiday'],Egypt,EG
2023-07-02,Day off for June 30 Revolution,['National holiday'],Egypt,EG
2023-07-03,Public Holiday,['National holiday'],Egypt,EG
2023-07-19,Muharram,['National holiday'],Egypt,EG
2023-07-23,Revolution Day July 23,['National holiday'],Egypt,EG
2023-07-28,Ashura,['Observance'],Egypt,EG
2023-08-15,Flooding of the Nile,['Observance'],Egypt,EG
2023-09-12,Nayrouz,['Observance'],Egypt,EG
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Egypt,EG
2023-09-27,Prophet Mohamed's Birthday,['National holiday'],Egypt,EG
2023-10-06,Armed Forces Day,['National holiday'],Egypt,EG
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Egypt,EG
