Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],El Salvador,SV
2023-01-02,New Year's Day Holiday,['National holiday'],El Salvador,SV
2023-01-16,Signing of the Peace Accords,['Observance'],El Salvador,SV
2023-03-08,Women's Day,['Observance'],El Salvador,SV
2023-03-20T15:24:20-06:00,March Equinox,['Season'],El Salvador,SV
2023-04-02,Palm Sunday,"['Observance', 'Christian']",El Salvador,SV
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",El Salvador,SV
2023-04-07,Good Friday,"['National holiday', 'Christian']",El Salvador,SV
2023-04-08,Holy Saturday,"['National holiday', 'Christian']",El Salvador,SV
2023-04-09,Easter Sunday,"['Observance', 'Christian']",El Salvador,SV
2023-05-01,Labor Day / May Day,['National holiday'],El Salvador,SV
2023-05-03,Cross Day,['Observance'],El Salvador,SV
2023-05-07,Soldiers' Day,['Observance'],El Salvador,SV
2023-05-10,Mothers' Day,['National holiday'],El Salvador,SV
2023-06-17,Fathers' Day,['National holiday'],El Salvador,SV
2023-06-21T08:57:49-06:00,June Solstice,['Season'],El Salvador,SV
2023-06-22,Teachers' Day,['Optional holiday'],El Salvador,SV
2023-07-07,San Salvador Games 2023 Public Holiday,['National holiday'],El Salvador,SV
2023-08-03,San Salvador Day 1 (S. Salvador only),['Local holiday'],El Salvador,SV
2023-08-05,San Salvador Day 2 (S. Salvador only),['Local holiday'],El Salvador,SV
2023-08-06,Celebrations of San Salvador,['National holiday'],El Salvador,SV
2023-09-15,Independence Day,['National holiday'],El Salvador,SV
2023-09-23T00:50:01-06:00,September Equinox,['Season'],El Salvador,SV
2023-10-01,Children's Day,['Observance'],El Salvador,SV
2023-11-02,All Saints Day,['National holiday'],El Salvador,SV
2023-12-21T21:27:21-06:00,December Solstice,['Season'],El Salvador,SV
2023-12-24,Christmas Eve,"['Observance', 'Christian']",El Salvador,SV
2023-12-25,Christmas Day,"['National holiday', 'Christian']",El Salvador,SV
2023-12-31,New Year's Eve,['Observance'],El Salvador,SV
