Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Equatorial Guinea,GQ
2023-01-02,New Year's Day observed,['National holiday'],Equatorial Guinea,GQ
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Equatorial Guinea,GQ
2023-04-06,Maundy Thursday,"['Observance', 'Christian']",Equatorial Guinea,GQ
2023-04-07,Good Friday,"['National holiday', 'Christian']",Equatorial Guinea,GQ
2023-05-01,Labor Day / May Day,['National holiday'],Equatorial Guinea,GQ
2023-06-05,President's Day,['National holiday'],Equatorial Guinea,GQ
2023-06-08,Corpus Christi,"['National holiday', 'Christian']",Equatorial Guinea,GQ
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Equatorial Guinea,GQ
2023-08-03,Freedom Day,['National holiday'],Equatorial Guinea,GQ
2023-08-15,Constitution Day,['National holiday'],Equatorial Guinea,GQ
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Equatorial Guinea,GQ
2023-10-12,Independence Day,['National holiday'],Equatorial Guinea,GQ
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Equatorial Guinea,GQ
2023-12-10,Human Rights Day,['Observance'],Equatorial Guinea,GQ
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Equatorial Guinea,GQ
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Equatorial Guinea,GQ
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Equatorial Guinea,GQ
2023-12-31,New Year's Eve,['Observance'],Equatorial Guinea,GQ
