Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Eritrea,ER
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",Eritrea,ER
2023-01-19,Timket,['National holiday'],Eritrea,ER
2023-03-08,Women's Day,['National holiday'],Eritrea,ER
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Eritrea,ER
2023-04-14,Coptic Good Friday,['National holiday'],Eritrea,ER
2023-04-16,Coptic Easter,['National holiday'],Eritrea,ER
2023-04-21,Eid al-Fitr,['National holiday'],Eritrea,ER
2023-05-01,International Workers' Day,['National holiday'],Eritrea,ER
2023-05-24,Independence Day,['National holiday'],Eritrea,ER
2023-06-20,Martyrs' Day,['National holiday'],Eritrea,ER
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Eritrea,ER
2023-06-28,Eid al-Adha,['National holiday'],Eritrea,ER
2023-09-01,Commencement Day of Eritrean Armed Struggle,['National holiday'],Eritrea,ER
2023-09-12,Geez New Year,['National holiday'],Eritrea,ER
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Eritrea,ER
2023-09-27,The Prophet's Birthday,['National holiday'],Eritrea,ER
2023-09-27,Meskel,['National holiday'],Eritrea,ER
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Eritrea,ER
2023-12-25,Christmas Day,['National holiday'],Eritrea,ER
