Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Estonia,EE
2023-01-06,Epiphany,['Observance'],Estonia,EE
2023-02-02,Anniversary of Tartu Peace Treaty,['Observance'],Estonia,EE
2023-02-24,Independence Day,['National holiday'],Estonia,EE
2023-03-14,Mother Tongue Day,['Observance'],Estonia,EE
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Estonia,EE
2023-04-07,Good Friday,['National holiday'],Estonia,EE
2023-04-09,Easter Sunday,['National holiday'],Estonia,EE
2023-05-01,Labor Day,['National holiday'],Estonia,EE
2023-05-14,Mothers' Day,['Observance'],Estonia,EE
2023-05-28,Pentecost,['National holiday'],Estonia,EE
2023-06-04,Flag Day,['Observance'],Estonia,EE
2023-06-14,Day of Mourning,['Observance'],Estonia,EE
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Estonia,EE
2023-06-23,Victory Day,['National holiday'],Estonia,EE
2023-06-24,Midsummer Day,['National holiday'],Estonia,EE
2023-08-20,Independence Restoration Day,['National holiday'],Estonia,EE
2023-08-23,Day of Remembrance for Victims of Communism and Nazism,['Observance'],Estonia,EE
2023-09-10,Grandparents' Day,['Observance'],Estonia,EE
2023-09-22,Resistance Day,['Observance'],Estonia,EE
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Estonia,EE
2023-10-21,Finno-Ugric Day,['Observance'],Estonia,EE
2023-11-02,All Soul's Day,['Observance'],Estonia,EE
2023-11-12,Father's Day,['Observance'],Estonia,EE
2023-11-16,Day of Declaration of Sovereignty,['Observance'],Estonia,EE
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Estonia,EE
2023-12-24,Christmas Eve,['National holiday'],Estonia,EE
2023-12-25,Christmas Day,['National holiday'],Estonia,EE
2023-12-26,Boxing Day,['National holiday'],Estonia,EE
