Date,Name,Type,Country Name,Country Code
2023-01-07,Ethiopian Christmas Day,['National holiday'],Ethiopia,ET
2023-01-19,Epiphany / Timkat,['National holiday'],Ethiopia,ET
2023-03-02,Adwa Victory Day,['National holiday'],Ethiopia,ET
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Ethiopia,ET
2023-04-14,Ethiopian Good Friday,['National holiday'],Ethiopia,ET
2023-04-16,Fasika,['National holiday'],Ethiopia,ET
2023-04-21,Eid ul Fitr,['National holiday'],Ethiopia,ET
2023-05-01,International Labor Day,['National holiday'],Ethiopia,ET
2023-05-05,Patriots' Day,['National holiday'],Ethiopia,ET
2023-05-28,Derg Downfall Day,['National holiday'],Ethiopia,ET
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Ethiopia,ET
2023-06-28,Eid al-Adha,['National holiday'],Ethiopia,ET
2023-09-12,Ethiopian New Year,['National holiday'],Ethiopia,ET
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Ethiopia,ET
2023-09-27,The Prophet's Birthday,['National holiday'],Ethiopia,ET
2023-09-28,Meskel,['National holiday'],Ethiopia,ET
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Ethiopia,ET
