Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Falkland Islands,FK
2023-01-02,New Year's Day observed,['National holiday'],Falkland Islands,FK
2023-01-10,Margaret Thatcher Day,['Observance'],Falkland Islands,FK
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Falkland Islands,FK
2023-04-07,Good Friday,['National holiday'],Falkland Islands,FK
2023-06-14,Liberation Day,['National holiday'],Falkland Islands,FK
2023-06-21T11:57:49-03:00,June Solstice,['Season'],Falkland Islands,FK
2023-08-14,Falkland Day,['Observance'],Falkland Islands,FK
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Falkland Islands,FK
2023-10-02,Peat Cutting Monday,['National holiday'],Falkland Islands,FK
2023-11-14,King Charles III's Birthday,['National holiday'],Falkland Islands,FK
2023-12-08,Battle Day,['National holiday'],Falkland Islands,FK
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Falkland Islands,FK
2023-12-25,Christmas Day,['National holiday'],Falkland Islands,FK
2023-12-26,Boxing Day,['National holiday'],Falkland Islands,FK
2023-12-27,Christmas Holiday,['National holiday'],Falkland Islands,FK
2023-12-28,Christmas Holiday,['National holiday'],Falkland Islands,FK
2023-12-29,Christmas Holiday,['National holiday'],Falkland Islands,FK
