Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Faroe Islands,FO
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Faroe Islands,FO
2023-03-26T01:00:00+00:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Faroe Islands,FO
2023-04-06,Maundy Thursday,['National holiday'],Faroe Islands,FO
2023-04-07,Good Friday,['National holiday'],Faroe Islands,FO
2023-04-09,Easter Sunday,['National holiday'],Faroe Islands,FO
2023-04-10,Easter Monday,['National holiday'],Faroe Islands,FO
2023-04-25,National Flag Day,['National holiday'],Faroe Islands,FO
2023-05-05,Prayer Day,['National holiday'],Faroe Islands,FO
2023-05-18,Ascension Day,['National holiday'],Faroe Islands,FO
2023-05-28,Whit Sunday,['National holiday'],Faroe Islands,FO
2023-05-29,Whit Monday,['National holiday'],Faroe Islands,FO
2023-06-05,Constitution Day,['National holiday'],Faroe Islands,FO
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Faroe Islands,FO
2023-07-28,St. Olav's Eve,['National holiday'],Faroe Islands,FO
2023-07-29,St. Olav's Day (National Day),['National holiday'],Faroe Islands,FO
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Faroe Islands,FO
2023-10-29T02:00:00+01:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Faroe Islands,FO
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Faroe Islands,FO
2023-12-24,Christmas Eve,['National holiday'],Faroe Islands,FO
2023-12-25,Christmas Day,['National holiday'],Faroe Islands,FO
2023-12-26,Boxing Day,['National holiday'],Faroe Islands,FO
2023-12-31,New Year's Eve,['National holiday'],Faroe Islands,FO
