Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Fiji,FJ
2023-01-02,Day off for New Year,['National holiday'],Fiji,FJ
2023-03-21T09:24:20+12:00,March Equinox,['Season'],Fiji,FJ
2023-04-07,Good Friday,['National holiday'],Fiji,FJ
2023-04-08,Holy Saturday,['National holiday'],Fiji,FJ
2023-04-10,Easter Monday,['National holiday'],Fiji,FJ
2023-05-14,Girmit Day,['National holiday'],Fiji,FJ
2023-05-15,Day off for Girmit Day,['National holiday'],Fiji,FJ
2023-05-29,Sukuna's Day Holiday,['National holiday'],Fiji,FJ
2023-06-22T02:57:49+12:00,June Solstice,['Season'],Fiji,FJ
2023-09-07,Constitution Day,['Observance'],Fiji,FJ
2023-09-23T18:50:01+12:00,September Equinox,['Season'],Fiji,FJ
2023-09-27,The Prophet's Birthday,['Observance'],Fiji,FJ
2023-10-02,The Prophet's Birthday Holiday,['National holiday'],Fiji,FJ
2023-10-10,Fiji Day,['National holiday'],Fiji,FJ
2023-11-12T02:00:00+12:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Fiji,FJ
2023-11-13,Diwali,['National holiday'],Fiji,FJ
2023-12-22T16:27:21+13:00,December Solstice,['Season'],Fiji,FJ
2023-12-25,Christmas Day,['National holiday'],Fiji,FJ
2023-12-26,Boxing Day,['National holiday'],Fiji,FJ
