Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Finland,FI
2023-01-06,Epiphany,['National holiday'],Finland,FI
2023-02-14,Valentine’s Day,['Observance'],Finland,FI
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Finland,FI
2023-04-07,Good Friday,['National holiday'],Finland,FI
2023-04-09,Easter Sunday,['Observance'],Finland,FI
2023-04-10,Easter Monday,['National holiday'],Finland,FI
2023-05-01,May Day,['National holiday'],Finland,FI
2023-05-14,Mother's Day,['Observance'],Finland,FI
2023-05-18,Ascension Day,['National holiday'],Finland,FI
2023-05-28,Whit Sunday,['Observance'],Finland,FI
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Finland,FI
2023-06-23,Midsummer Eve,['National holiday'],Finland,FI
2023-06-24,Midsummer,['National holiday'],Finland,FI
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Finland,FI
2023-11-04,All Saints' Day,['National holiday'],Finland,FI
2023-11-12,Father's Day,['Observance'],Finland,FI
2023-12-06,Independence Day,['National holiday'],Finland,FI
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Finland,FI
2023-12-24,Christmas Eve,"['National holiday', 'Christian']",Finland,FI
2023-12-25,Christmas Day,['National holiday'],Finland,FI
2023-12-26,Boxing Day,['National holiday'],Finland,FI
2023-12-31,New Year's Eve,['Observance'],Finland,FI
