Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],French Guiana,GF
2023-02-20,Carnival / Shrove Monday,['National holiday'],French Guiana,GF
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['National holiday'],French Guiana,GF
2023-02-22,Carnival / Ash Wednesday,['National holiday'],French Guiana,GF
2023-03-19,Laetare Sunday,['Observance'],French Guiana,GF
2023-03-20T18:24:20-03:00,March Equinox,['Season'],French Guiana,GF
2023-04-02,Palm Sunday,['Observance'],French Guiana,GF
2023-04-07,Good Friday,['National holiday'],French Guiana,GF
2023-04-09,Easter Sunday,['Observance'],French Guiana,GF
2023-04-10,Easter Monday,['National holiday'],French Guiana,GF
2023-05-01,Labor Day / May Day,['National holiday'],French Guiana,GF
2023-05-08,Victory Day,['National holiday'],French Guiana,GF
2023-05-18,Ascension Day,['National holiday'],French Guiana,GF
2023-05-28,Whit Sunday,['Observance'],French Guiana,GF
2023-05-29,Whit Monday,['National holiday'],French Guiana,GF
2023-06-10,Abolition Day,['National holiday'],French Guiana,GF
2023-06-21T11:57:49-03:00,June Solstice,['Season'],French Guiana,GF
2023-07-14,French National Day,['National holiday'],French Guiana,GF
2023-08-15,Assumption of Mary,['National holiday'],French Guiana,GF
2023-09-23T03:50:01-03:00,September Equinox,['Season'],French Guiana,GF
2023-10-15,Cayenne Festival,['Common local holiday'],French Guiana,GF
2023-11-01,All Saints' Day,['National holiday'],French Guiana,GF
2023-11-02,All Souls' Day,['Observance'],French Guiana,GF
2023-11-11,Armistice Day,['National holiday'],French Guiana,GF
2023-12-22T00:27:21-03:00,December Solstice,['Season'],French Guiana,GF
2023-12-25,Christmas Day,['National holiday'],French Guiana,GF
2023-12-31,New Year's Eve,['Observance'],French Guiana,GF
