Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],French Polynesia,PF
2023-03-05,Missionary Day,['National holiday'],French Polynesia,PF
2023-03-20T11:24:20-10:00,March Equinox,['Season'],French Polynesia,PF
2023-04-07,Good Friday,['National holiday'],French Polynesia,PF
2023-04-10,Easter Monday,['National holiday'],French Polynesia,PF
2023-05-01,Labor Day / May Day,['National holiday'],French Polynesia,PF
2023-05-08,Victory Day,['National holiday'],French Polynesia,PF
2023-05-18,Ascension Day,['National holiday'],French Polynesia,PF
2023-05-29,Whit Monday,['National holiday'],French Polynesia,PF
2023-06-21T04:57:49-10:00,June Solstice,['Season'],French Polynesia,PF
2023-06-29,Autonomy Day,['National holiday'],French Polynesia,PF
2023-07-14,French National Day,['National holiday'],French Polynesia,PF
2023-08-15,Assumption of Mary,['National holiday'],French Polynesia,PF
2023-09-22T20:50:01-10:00,September Equinox,['Season'],French Polynesia,PF
2023-11-01,All Saints' Day,['National holiday'],French Polynesia,PF
2023-11-11,Armistice Day,['National holiday'],French Polynesia,PF
2023-12-21T17:27:21-10:00,December Solstice,['Season'],French Polynesia,PF
2023-12-25,Christmas Day,['National holiday'],French Polynesia,PF
